license,count_listings,closest_commprop_idx,closest_commprop_dist_ft,commercial_props,resi/condo_props,agr/ind/TE_props,n_props_searched,accommodations,geometry,violator_prob_rating,license_num,license_number_official,license_status_active,license_status,license_category,license_active,license_max_bedrooms,license_max_guests,exceeds_max_guests,exceeds_max_rooms,avg_distance_ft,dispersal_factor,centroid_confidence,max_distance_ft,zoom_factor,marker_radius,best_guess_prop_adrs,best_guess_prop_unit_n,best_guess_prop_num_floors,best_guess_prop_own_occ,best_guess_prop_lu
STR-419049,4.0,130218.0,124.0,7.0,39.0,4.0,50.0,23,POINT (42.344175 -71.08654750000001),98.0,419049,True,True,Inactive,Home Share Unit,False,5,10,1.0,0.0,12710.204109049433,5.450239096836222,0.0,19203.903359193075,5.862920908702417,6.437751649736401,"189 277 Massachusetts Av, Fenway",538,11.0,0,Mixed use (Residential and Commercial)
STR-415643,2.0,171141.0,265.0,25.0,10.0,15.0,50.0,12,POINT (42.329995 -71.08403000000001),97.0,415643,True,True,Inactive,STRES,False,5,10,1.0,0.0,7231.1903575989345,4.886297223296255,6.0,7231.19975252523,4.886298522338416,4.394449154672439,"2261 - 227 Washington St, Roxbury",2,1.0,0,Commercial
STR-414596,6.0,147566.0,112.0,4.0,41.0,5.0,50.0,29,POINT (42.34437666666667 -71.09645166666667),96.0,414596,False,False,not found,not found,False,5,10,1.0,1.0,4098.595499391801,4.318643589140384,12.0,11880.398233827507,5.38272928244108,7.783640596221253,"1270 A1270 Boylston St, Fenway",2,2.0,0,Commercial
STR-415647,2.0,171141.0,188.0,16.0,22.0,12.0,50.0,10,POINT (42.33029 -71.08445),91.0,415647,True,True,Inactive,STRES,False,5,10,0.0,0.0,7130.769424549988,4.872314648756262,6.0,7130.776296811794,4.872315612368249,4.394449154672439,"2261 - 227 Washington St, Roxbury",2,1.0,0,Commercial
STR-416814,6.0,46704.0,356.0,1.0,49.0,0.0,50.0,22,POINT (42.28249 -71.06583000000001),91.0,416814,True,True,Void,Owner-Adjacent Unit,False,5,10,1.0,1.0,356.44805664700897,1.8789900554852803,38.0,400.261842963072,1.9946141891814264,7.783640596221253,"16 Fuller St, Dorchester",6,3.0,0,Mixed use (Residential and Commercial)
STR-415645,2.0,171141.0,72.0,14.0,24.0,12.0,50.0,16,POINT (42.33058 -71.08388500000001),91.0,415645,True,True,Inactive,STRES,False,5,10,1.0,0.0,7019.801967197318,4.856632730836424,6.0,7019.811299562533,4.856634060080442,4.394449154672439,"2261 - 227 Washington St, Roxbury",2,1.0,0,Commercial
STR-415897,2.0,135364.0,210.0,3.0,97.0,0.0,100.0,8,POINT (42.35231 -71.06994500000002),90.0,415897,True,True,Void,Limited Share Unit,False,3,6,1.0,0.0,1482.967514625661,3.3024745330737524,23.0,1482.9684545849047,3.302475166483134,4.394449154672439,"300 Boylston St, Downtown",106,,0,Commercial
STR-416811,4.0,40871.0,321.0,4.0,96.0,0.0,100.0,14,POINT (42.282355 -71.0657975),90.0,416811,True,True,Inactive,Limited Share Unit,False,3,6,1.0,1.0,354.98832002109134,1.874897921384287,38.0,466.791272056929,2.1480221965517625,6.437751649736401,"1996 1998 Dorchester Av, Dorchester",4,2.5,0,Mixed use (Residential and Commercial)
STR-413530,2.0,67707.0,2339.0,1.0,487.0,12.0,500.0,8,POINT (42.31332999999999 -71.12771499999999),90.0,413530,True,True,Void,Limited Share Unit,False,3,6,1.0,0.0,80.46005580833067,0.4001127873210715,53.0,80.46005635945708,0.40011279408667466,4.394449154672439,"414 420 Pond St, Jamaica Plain",39,,0,Commercial
STR-414742,6.0,3099.0,397.0,3.0,97.0,0.0,100.0,12,POINT (42.32389833333334 -71.10639999999999),90.0,414742,True,True,Inactive,Home Share Unit,False,5,10,1.0,1.0,261.38864892169414,1.5698267974516824,41.0,400.3753084046475,1.9948969207797287,7.783640596221253,"345 345r Centre St, Jamaica Plain",6,2.5,0,Mixed use (Residential and Commercial)
STR-410133,4.0,64573.0,181.0,3.0,47.0,0.0,50.0,9,POINT (42.31585 -71.11288500000001),89.0,410133,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,2170.131867558342,3.68300390850273,19.0,2449.4957163296795,3.8040456162679597,6.437751649736401,"37 Robinwood Av, Jamaica Plain",1,2.5,0,Commercial
STR-413525,13.0,34113.0,353.0,1.0,47.0,2.0,50.0,85,POINT (42.30928923076924 -71.06183615384614),89.0,413525,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,1.0,800.2633248040888,2.6861896381173063,29.0,4948.87680807191,4.5071179679948425,10.556229318461034,"411 Bowdoin St, Dorchester",1,1.0,0,Commercial
STR-392773,10.0,110719.0,235.0,1.0,296.0,3.0,300.0,20,POINT (42.36008500000001 -71.064301),88.0,392773,False,False,not found,not found,False,5,10,1.0,1.0,318.3081839363258,1.766156730260814,39.0,554.2294493020772,2.319381450476942,9.591581091193483,"67 A67 Joy St, Beacon Hill",11,4.0,0,Mixed use (Residential and Commercial)
str-238097,6.0,20519.0,316.0,2.0,80.0,18.0,100.0,12,POINT (42.31686666666666 -71.09009333333334),87.0,238097,False,False,not found,not found,False,5,10,1.0,1.0,197.6038080875292,1.2913119260875083,44.0,376.4198361966448,1.9333581916927072,7.783640596221253,"58 Holworthy St, Roxbury",9,4.0,0,Mixed use (Residential and Commercial)
STR-415972,3.0,11975.0,510.0,5.0,38.0,7.0,50.0,6,POINT (42.37480333333333 -71.02983999999999),86.0,415972,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,2301.8846357284915,3.7419178055258184,18.0,3421.7010015746723,4.13818528489746,5.545177444479562,"282 Bremen St, East Boston",1,1.0,0,Commercial
