license,count_listings,closest_commprop_idx,closest_commprop_dist_ft,commercial_props,resi/condo_props,agr/ind/TE_props,n_props_searched,accommodations,geometry,violator_prob_rating,license_num,license_number_official,license_status_active,license_status,license_category,license_active,license_max_bedrooms,license_max_guests,exceeds_max_guests,exceeds_max_rooms,avg_distance_ft,dispersal_factor,centroid_confidence,max_distance_ft,zoom_factor,marker_radius,best_guess_prop_adrs,best_guess_prop_unit_n,best_guess_prop_num_floors,best_guess_prop_own_occ,best_guess_prop_lu
STR-413572,6.0,32028.0,671.0,1.0,344.0,5.0,350.0,35,POINT (42.30288666666667 -71.06400499999999),86.0,413572,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,1.0,233.28657831131548,1.4565450596702822,42.0,330.824519569992,1.8046062736697106,7.783640596221253,"105 Homes Av, Dorchester",1,1.0,0,Commercial
"STR-398933
C0118200351",2.0,105894.0,950.0,2.0,294.0,4.0,300.0,4,POINT (42.35556 -71.159325),86.0,3989330118200351,False,False,not found,not found,False,5,10,0.0,0.0,288.92484057629224,1.6696217189634828,40.0,288.92538643705666,1.6696236017281656,4.394449154672439,"270 Parsons St, Brighton",3,2.0,0,Commercial
STR-398050,3.0,75325.0,835.0,1.0,196.0,3.0,200.0,4,POINT (42.27256333333334 -71.15012),86.0,398050,True,True,Inactive,Owner-Adjacent Unit,False,5,10,0.0,0.0,303.77271067628584,1.719566287902322,39.0,415.8489373853314,2.032723895699796,5.545177444479562,"Heron St, West Roxbury",11,1.0,0,Commercial
STR-420874,3.0,46169.0,1121.0,1.0,285.0,14.0,300.0,11,POINT (42.27112333333334 -71.07859666666667),86.0,420874,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,290.6305002754444,1.6754875909453668,40.0,434.527216527751,2.07655728923708,5.545177444479562,"84 100 River St, Dorchester",4,2.0,0,Commercial
STR-416483,6.0,26953.0,366.0,1.0,78.0,21.0,100.0,36,POINT (42.29789666666667 -71.07811),85.0,416483,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,1.0,364.397648764764,1.9009862092345449,38.0,488.7926377065109,2.1939821131811508,7.783640596221253,"105 Norwell St, Dorchester",3,1.0,0,Commercial
STR-415974,5.0,46145.0,872.0,1.0,287.0,12.0,300.0,11,POINT (42.275198 -71.07725000000001),85.0,415974,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,131.7688712246567,0.888609806136766,48.0,283.209260633857,1.6497108000506913,7.16703787691222,"59 63 Sanford St, Dorchester",2,1.0,0,Commercial
STR-415918,4.0,30348.0,335.0,5.0,95.0,0.0,100.0,16,POINT (42.2804075 -71.09456999999999),84.0,415918,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,423.5039966129191,2.050921420578505,36.0,572.3798230450888,2.3515483645585897,6.437751649736401,"27 Ormond St, Mattapan",4,2.0,0,Mixed use (Residential and Commercial)
STR-416001,5.0,11292.0,224.0,3.0,46.0,1.0,50.0,9,POINT (42.374208 -71.035112),84.0,416001,True,True,Void,Home Share Unit,False,5,10,0.0,0.0,1084.05914687816,2.989389777740527,26.0,1753.8397820954924,3.4701328394792945,7.16703787691222,"144 Chelsea St, East Boston",7,3.0,0,Mixed use (Residential and Commercial)
STR-416194,2.0,32951.0,364.0,1.0,95.0,4.0,100.0,4,POINT (42.30674999999999 -71.06952000000001),83.0,416194,True,True,Void,Home Share Unit,False,5,10,0.0,0.0,551.5547241835566,2.3145524767829793,33.0,551.5569711071976,2.314556543202058,4.394449154672439,"93 Barry St, Dorchester",1,1.0,0,Commercial
Str-409169,4.0,32646.0,410.0,2.0,84.0,14.0,100.0,20,POINT (42.30912 -71.06587999999999),83.0,409169,True,True,Inactive,Owner-Adjacent Unit,False,5,10,1.0,0.0,179.87708622555698,1.1978177189587011,45.0,304.36002175234995,1.7214914796720713,6.437751649736401,"491 R Quincy St, Dorchester",1,,0,Commercial
STR-396424,4.0,71659.0,369.0,3.0,96.0,1.0,100.0,10,POINT (42.285615 -71.135785),82.0,396424,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,265.83489371546915,1.5866300915297096,41.0,422.71349890382453,2.049057516704485,6.437751649736401,"119 Belgrade Av, Roslindale",1,2.0,0,Commercial
STR-416718,4.0,59750.0,718.0,1.0,197.0,2.0,200.0,5,POINT (42.25228 -71.11515249999999),82.0,416718,False,False,not found,not found,False,5,10,0.0,0.0,198.8950265099988,1.297792361306894,44.0,298.1079901076917,1.7008046791129017,6.437751649736401,"172 Fairmount Av, Hyde Park",1,2.0,0,Commercial
STR-413706,10.0,35378.0,287.0,5.0,39.0,6.0,50.0,40,POINT (42.300002 -71.061767),82.0,413706,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,1.0,337.73510657734136,1.8252184054040388,38.0,584.6394939590983,2.3727044022430457,9.591581091193483,"1483 Dorchester Av, Dorchester",2,,0,Commercial
STR-413877,2.0,32649.0,472.0,5.0,142.0,3.0,150.0,5,POINT (42.306585 -71.065005),82.0,413877,False,False,not found,not found,False,5,10,0.0,0.0,336.8390151676049,1.8225694955362064,38.0,336.8397217237582,1.8225715869329449,4.394449154672439,"296 300 Bowdoin St, Dorchester",5,3.5,0,Mixed use (Residential and Commercial)
Str-413813,2.0,21460.0,761.0,1.0,206.0,43.0,250.0,4,POINT (42.317075 -71.07449999999999),82.0,413813,True,True,Void,Home Share Unit,False,5,10,0.0,0.0,174.2536493282638,1.166234349254319,45.0,174.25378578678513,1.1662351278884229,4.394449154672439,"153 155a Howard Av, Roxbury",4,2.0,0,Mixed use (Residential and Commercial)
STR-410426,5.0,126804.0,196.0,1.0,148.0,1.0,150.0,6,POINT (42.34585800000001 -71.07423200000001),81.0,410426,True,True,Void,Limited Share Unit,False,3,6,0.0,1.0,317.38821191499244,1.7632714304048154,39.0,445.0782032367874,2.100494280229416,7.16703787691222,"304 304a Columbus Av, South End",4,4.0,0,Mixed use (Residential and Commercial)
STR-414710,5.0,171525.0,121.0,2.0,37.0,11.0,50.0,10,POINT (42.329262 -71.09277599999999),81.0,414710,True,True,Void,Limited Share Unit,False,3,6,1.0,1.0,206.49633239005533,1.3351136642858954,44.0,384.89630790607566,1.955568701009014,7.16703787691222,"22 Centre St, Roxbury",1,1.0,0,Commercial
STR-420570,8.0,92716.0,235.0,6.0,24.0,20.0,50.0,24,POINT (42.37072375 -71.06086499999999),81.0,420570,True,True,Active,STRBB,True,5,10,1.0,1.0,342.0149360893931,1.8377739916679898,38.0,510.66384549516147,2.2376678576477493,8.788898309344878,"Chelsea St, Charlestown",6,4.0,0,Commercial
STR-416108,3.0,23402.0,371.0,3.0,93.0,4.0,100.0,6,POINT (42.31048666666667 -71.05269),80.0,416108,True,True,Inactive,STRBB,False,5,10,0.0,0.0,325.3857128942262,1.7880798503617994,39.0,442.37370953630153,2.0944130025427254,5.545177444479562,"117 -119 Savin Hill Av, Dorchester",2,1.0,0,Commercial
STR-396782,3.0,25198.0,921.0,1.0,196.0,3.0,200.0,9,POINT (42.30926 -71.04695333333332),80.0,396782,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,147.7802311235357,1.002470258220355,47.0,221.6701382616503,1.405691475742433,5.545177444479562,"400 Wm T Morrissey Bl, Dorchester",2,2.0,0,Commercial
STR-415377,3.0,25198.0,1071.0,1.0,345.0,4.0,350.0,5,POINT (42.30940333333334 -71.04753666666666),80.0,415377,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,313.48724895841434,1.7509435314661523,39.0,466.67812834115557,2.1477802993474775,5.545177444479562,"400 Wm T Morrissey Bl, Dorchester",2,2.0,0,Commercial
STR-415018,8.0,18106.0,217.0,3.0,43.0,4.0,50.0,15,POINT (42.32111999999999 -71.07917375),80.0,415018,True,True,Active,Home Share Unit,True,5,10,1.0,1.0,328.45055729730075,1.7974262889574293,39.0,439.8748902788517,2.0887611396848538,8.788898309344878,"26 Irwin Av, Roxbury",7,3.0,0,Mixed use (Residential and Commercial)
STR-403983,2.0,77749.0,314.0,1.0,98.0,1.0,100.0,20,POINT (42.289925 -71.14075),80.0,403983,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,0.0,524.1571387044328,2.2636975296247446,34.0,524.1589857160488,2.2637010466832246,4.394449154672439,"62 Ainsworth St, Roslindale",3,,1,Mixed use (Residential and Commercial)
STR-416179,3.0,20181.0,554.0,2.0,90.0,8.0,100.0,6,POINT (42.31672 -71.09320000000001),80.0,416179,True,True,Void,Owner-Adjacent Unit,False,5,10,0.0,0.0,194.4028421540878,1.2750632848155297,44.0,280.00246474445277,1.6383634406278498,5.545177444479562,"134 140 Crawford St, Roxbury",18,3.0,0,Mixed use (Residential and Commercial)
STR-393730,3.0,88016.0,470.0,3.0,95.0,2.0,100.0,7,POINT (42.25703666666666 -71.15915333333332),80.0,393730,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,320.1684687207692,1.7719658101330067,39.0,426.8105454657954,2.0586804468021676,5.545177444479562,"46 Rockland St, West Roxbury",1,1.0,0,Commercial
STR-413453,2.0,66272.0,1107.0,1.0,541.0,8.0,550.0,5,POINT (42.31229 -71.11819),79.0,413453,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,274.42549558386025,1.6183171585668363,41.0,332.8247064650504,1.8106160242617717,4.394449154672439,"793 Centre St, Jamaica Plain",1,2.0,0,Commercial
STR-399362,4.0,1279.0,189.0,1.0,48.0,1.0,50.0,8,POINT (42.3796025 -71.03061),79.0,399362,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,341.81226885049165,1.83718297619546,38.0,493.96088376415264,2.204478736747551,6.437751649736401,"257 259 Princeton St, East Boston",8,3.0,0,Mixed use (Residential and Commercial)
LB-101724,11.0,135328.0,127.0,4.0,45.0,1.0,50.0,17,POINT (42.34907363636363 -71.07015636363639),79.0,101724,False,False,not found,not found,False,5,10,1.0,1.0,150.16225082044187,1.0183537686882502,47.0,263.03939612545844,1.576098319760912,9.939626599152001,"131 Arlington St, Bay Village",2,2.0,0,Commercial
STR-397966,5.0,50850.0,555.0,1.0,136.0,13.0,150.0,14,POINT (42.27949 -71.09862),79.0,397966,True,True,Active,Home Share Unit,True,5,10,1.0,0.0,217.9386498649299,1.3887915529675734,43.0,311.22484549148885,1.7437235868863112,7.16703787691222,"609 Walk Hill St, Mattapan",1,1.0,0,Commercial
STR-422124,6.0,165698.0,194.0,3.0,36.0,11.0,50.0,14,POINT (42.32620833333333 -71.07336000000001),79.0,422124,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,318.95458749989615,1.7681790716601942,39.0,446.30220168330743,2.103234432589236,7.783640596221253,"Howard St, Roxbury",2,1.0,0,Commercial
STR-409246,2.0,65897.0,1082.0,1.0,349.0,0.0,350.0,10,POINT (42.31193 -71.12220500000001),78.0,409246,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,242.1143005187592,1.4935317052552612,42.0,242.11455675572267,1.4935327592320444,4.394449154672439,"891 Centre St, Jamaica Plain",1,2.0,0,Commercial
STR-238068,2.0,20519.0,406.0,1.0,86.0,13.0,100.0,4,POINT (42.31668 -71.09072999999998),78.0,238068,False,False,not found,not found,False,5,10,0.0,0.0,219.85222669446586,1.3974938203755247,43.0,219.8526078655765,1.397495546284235,4.394449154672439,"58 Holworthy St, Roxbury",9,4.0,0,Mixed use (Residential and Commercial)
STR-415003,3.0,167264.0,145.0,1.0,99.0,0.0,100.0,14,POINT (42.33629333333334 -71.07592666666666),78.0,415003,True,True,Void,STRES,False,5,10,1.0,0.0,280.8522659418619,1.6413830540264431,40.0,402.6603077653602,2.0005737019087837,5.545177444479562,"1734 1736 Washington St, South End",2,5.0,0,Mixed use (Residential and Commercial)
STR-415415,2.0,109174.0,478.0,1.0,194.0,5.0,200.0,5,POINT (42.342705 -71.155925),78.0,415415,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,624.9903864096224,2.439335013809049,32.0,624.9924057654358,2.439338239661394,4.394449154672439,"167 183 Chestnut Hill Av, Brighton",5,1.0,0,Commercial
STR-415697,22.0,2749.0,189.0,6.0,41.0,3.0,50.0,96,POINT (42.32546409090909 -71.10443272727274),78.0,415697,True,True,Active,Home Share Unit,True,5,10,1.0,1.0,263.7693814502154,1.5788591884128653,41.0,365.34310609130017,1.9035703426079795,12.541976863716599,"178 Heath St, Jamaica Plain",2,2.5,1,Mixed use (Residential and Commercial)
STR-410888,6.0,165478.0,126.0,9.0,31.0,10.0,50.0,11,POINT (42.32582499999999 -71.07123333333332),78.0,410888,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,1.0,549.9270410805357,2.311602388553635,33.0,681.945062247489,2.5264144203876064,7.783640596221253,"Cedric St, Roxbury",1,,0,Commercial
STR-383505,3.0,25198.0,1049.0,1.0,296.0,3.0,300.0,7,POINT (42.30934333333334 -71.04744666666666),78.0,383505,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,239.22451602028787,1.4815739694679433,42.0,358.83479438597413,1.8856450216378633,5.545177444479562,"400 Wm T Morrissey Bl, Dorchester",2,2.0,0,Commercial
STR-390863,2.0,102400.0,1001.0,4.0,340.0,6.0,350.0,3,POINT (42.34428 -71.1511),78.0,390863,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,250.49490607404613,1.5274227351559322,42.0,250.49512436236614,1.5274236031187423,4.394449154672439,"1755 Commonwealth Av, Brighton",2,2.0,0,Mixed use (Residential and Commercial)
STR-416165,2.0,32951.0,344.0,1.0,94.0,5.0,100.0,8,POINT (42.306695 -71.06972500000001),78.0,416165,True,True,Inactive,Owner-Adjacent Unit,False,5,10,0.0,0.0,249.4483598772619,1.5232527510788962,42.0,249.44852505049192,1.5232534105888078,4.394449154672439,"93 Barry St, Dorchester",1,1.0,0,Commercial
LB-101723,19.0,134405.0,42.0,11.0,36.0,3.0,50.0,38,POINT (42.34959631578948 -71.06962578947369),78.0,101723,False,False,not found,not found,False,5,10,1.0,1.0,480.3142014260501,2.176520282264887,35.0,2914.3609805675496,3.9777489266467834,11.982929094215963,"108 Arlington St, Bay Village",4,5.0,0,Commercial
STR-399339,2.0,155651.0,202.0,3.0,96.0,1.0,100.0,4,POINT (42.3373 -71.03889000000001),77.0,399339,True,True,Void,Limited Share Unit,False,3,6,0.0,0.0,426.79412109260534,2.0586420543673576,36.0,426.79534702018765,2.058644920058505,4.394449154672439,"519 E First St, South Boston",1,,0,Commercial condominium
STR-389081,5.0,146863.0,325.0,2.0,13.0,35.0,50.0,8,POINT (42.350378 -71.098916),77.0,389081,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,797.3346240082902,2.682527837887445,29.0,1250.0878778539213,3.131768754086038,7.16703787691222,"585 Commonwealth Av, Fenway",9,,0,Commercial
STR-414833,3.0,21095.0,749.0,2.0,268.0,80.0,350.0,18,POINT (42.32 -71.07489666666667),77.0,414833,True,True,Active,Home Share Unit,True,5,10,1.0,0.0,114.33835243971969,0.7478700037061881,50.0,153.18639614586405,1.0381622350964674,5.545177444479562,"174 178a Blue Hill Av, Roxbury",3,1.0,0,Commercial
STR-415193,4.0,44887.0,649.0,1.0,148.0,1.0,150.0,9,POINT (42.27979 -71.07174500000001),77.0,415193,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,336.3183365487838,1.8210271033198708,38.0,429.03120025885534,2.0638577647968743,6.437751649736401,"859 863 Washington St, Dorchester",3,1.0,0,Commercial
STR-395992,5.0,48430.0,700.0,1.0,99.0,0.0,100.0,10,POINT (42.27802000000001 -71.086324),77.0,395992,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,290.48094958907865,1.6749746506157628,40.0,604.7912591277739,2.4065354698455534,7.16703787691222,"875 Morton St, Mattapan",165,1.0,0,Commercial
STR-408484,2.0,79263.0,1171.0,1.0,472.0,27.0,500.0,4,POINT (42.291005 -71.13079000000002),76.0,408484,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,153.658793520699,1.041221358301497,47.0,153.65891312488924,1.0412221316435186,4.394449154672439,"814 South St, Roslindale",1,2.0,0,Commercial
STR-393321,2.0,14769.0,637.0,1.0,231.0,18.0,250.0,3,POINT (42.31303 -71.107195),76.0,393321,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,305.464874689036,1.725103147468202,39.0,305.46562617219604,1.7251055995672866,4.394449154672439,"384 Amory St, Jamaica Plain",1,2.0,0,Commercial
STR-400241,3.0,171527.0,249.0,2.0,38.0,10.0,50.0,8,POINT (42.32892 -71.09235),76.0,400241,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,367.4558258026197,1.9093208287384869,37.0,496.2489199458115,2.209090745677045,5.545177444479562,"16 R18 Centre St, Roxbury",12,3.0,0,Mixed use (Residential and Commercial)
STR-390690,34.0,121522.0,52.0,17.0,30.0,3.0,50.0,123,POINT (42.35535764705882 -71.06156205882351),76.0,390690,False,False,not found,not found,False,5,10,1.0,1.0,262.34237521787566,1.573454992473895,41.0,529.2061600846259,2.2732659122043044,14.221392245957654,"52 58 Temple Pl, Downtown",1,,0,Commercial condominium
STR-383172,2.0,37801.0,431.0,4.0,142.0,4.0,150.0,4,POINT (42.290995 -71.04906500000001),75.0,383172,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,454.63251882353075,2.1216866048457597,35.0,454.6335264613929,2.1216888163576835,4.394449154672439,"572 Freeport St, Dorchester",1,,0,Commercial condominium
STR-416670,4.0,22267.0,228.0,2.0,47.0,1.0,50.0,11,POINT (42.315265 -71.06014500000001),74.0,416670,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,0.0,320.63828634760586,1.773427579807298,39.0,376.70939757127877,1.9341251104554251,6.437751649736401,"149 157 Stoughton St, Dorchester",6,1.0,0,Commercial
STR-413138,3.0,23402.0,677.0,1.0,194.0,5.0,200.0,6,POINT (42.30978 -71.05208333333333),74.0,413138,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,221.94028294969678,1.4069039461348751,43.0,326.3906483065785,1.7911541010183338,5.545177444479562,"117 -119 Savin Hill Av, Dorchester",2,1.0,0,Commercial
STR-415994,2.0,108346.0,662.0,1.0,196.0,3.0,200.0,6,POINT (42.34724000000001 -71.16646500000002),74.0,415994,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,218.76590550278826,1.3925629139359161,43.0,218.7659159833768,1.392562961625699,4.394449154672439,"200 206 Lake St, Brighton",4,4.0,0,Mixed use (Residential and Commercial)
STR-408019,2.0,25089.0,580.0,2.0,143.0,5.0,150.0,4,POINT (42.314875 -71.0523),74.0,408019,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,254.38680446434546,1.5427792761099992,41.0,254.3870837015351,1.5427803694986633,4.394449154672439,"875 Columbia Rd, Dorchester",2,,0,Commercial
STR404257,3.0,117471.0,151.0,3.0,145.0,2.0,150.0,10,POINT (42.36613333333333 -71.05207),74.0,404257,True,True,Inactive,Home Share Unit,False,5,10,0.0,0.0,343.5968874561701,1.8423752917145872,38.0,487.1869999177152,2.190698529004794,5.545177444479562,"380 Commercial St, North End",1,,0,Commercial condominium
STR-415696,3.0,24255.0,621.0,2.0,293.0,5.0,300.0,9,POINT (42.31384000000001 -71.05364333333331),74.0,415696,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,224.2603973263891,1.417257054474823,43.0,302.0527075491654,1.7139067426888976,5.545177444479562,"2 Saxton St, Dorchester",6,3.0,0,Mixed use (Residential and Commercial)
str-418154,3.0,27045.0,538.0,1.0,146.0,3.0,150.0,8,POINT (42.29891 -71.08145666666665),74.0,418154,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,263.7975422166589,1.5789655423606348,41.0,337.7279656231493,1.8251973239473944,5.545177444479562,"80 90 Glenway St, Mattapan",4,1.0,0,Commercial
STR-414697,2.0,1208.0,174.0,3.0,47.0,0.0,50.0,2,POINT (42.332665 -71.10916499999999),73.0,414697,True,True,Inactive,Limited Share Unit,False,3,6,0.0,0.0,293.6223120550426,1.6856942379394724,40.0,293.6223294898748,1.6856942971163607,4.394449154672439,"820 824 Huntington Av, Mission Hill",6,3.0,0,Mixed use (Residential and Commercial)
STR-414325,2.0,41683.0,197.0,2.0,37.0,11.0,50.0,10,POINT (42.29862 -71.072155),73.0,414325,True,True,Void,Owner-Adjacent Unit,False,5,10,0.0,0.0,242.21651878065313,1.4939520704031928,42.0,242.21700457028797,1.4939540677558067,4.394449154672439,"374 378 Washington St, Dorchester",14,4.0,0,Mixed use (Residential and Commercial)
STR-415977,6.0,33655.0,99.0,3.0,47.0,0.0,50.0,43,POINT (42.31299000000001 -71.06556166666665),73.0,415977,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,1.0,296.8859517745337,1.6967107010864186,40.0,479.6054008325521,2.1750465609266003,7.783640596221253,"Hancock St, Dorchester",4,,0,Commercial
STR-413137,3.0,23402.0,590.0,1.0,96.0,3.0,100.0,6,POINT (42.30975333333333 -71.05295666666666),73.0,413137,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,216.36607223365726,1.3815829010255314,43.0,272.239053003833,1.610347064054074,5.545177444479562,"117 -119 Savin Hill Av, Dorchester",2,1.0,0,Commercial
STR-401050,5.0,6689.0,143.0,1.0,49.0,0.0,50.0,13,POINT (42.379742 -71.03581200000001),73.0,401050,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,0.0,435.387920657092,2.07853157405496,36.0,734.7369747906961,2.6008726836482747,7.16703787691222,"106 104 Trenton St, East Boston",1,1.0,0,Commercial
STR-415841,3.0,12612.0,521.0,6.0,200.0,44.0,250.0,6,POINT (42.32275 -71.09408999999999),73.0,415841,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,249.96292433566472,1.525305216411219,42.0,323.6958827292287,1.7828889987981276,5.545177444479562,"9 Valentine St, Roxbury",8,3.0,0,Mixed use (Residential and Commercial)
STR-418861,4.0,104093.0,175.0,2.0,48.0,0.0,50.0,10,POINT (42.35939750000001 -71.13218000000001),73.0,418861,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,143.75731943905973,0.975058681247635,47.0,191.78300005461392,1.2615652042982983,6.437751649736401,"113 103 Franklin St, Allston",8,1.0,0,Mixed use (Residential and Commercial)
