air_scraped,air_Neighborhood,air_Count Listings,air_Sum Accomodations,air_Count Licensed,air_Count Exempt,air_Pct. Licensed,air_Pct. License Exempt,air_Avg. Reviews/Listing,air_Unique Hosts (count),air_Med. Host Distance (km.),air_Med. Price,air_Avg. Price,air_Avg. Avlblty / Next 30d
2015-10-03,Allston,127,319,0,0,0.0,0.0,9.98,86,6.21,95.0,117.69,7.55
2015-10-03,Back Bay,205,593,0,0,0.0,0.0,10.35,150,2.67,210.0,248.67,7.67
2015-10-03,Bay Village,12,38,0,0,0.0,0.0,14.42,9,1.56,172.0,279.42,8.75
2015-10-03,Beacon Hill,146,393,0,0,0.0,0.0,16.78,102,0.94,186.5,217.35,6.3
2015-10-03,Brighton,123,339,0,0,0.0,0.0,13.39,92,7.92,99.0,117.91,7.62
2015-10-03,Charlestown,67,216,0,0,0.0,0.0,22.19,59,2.06,198.0,228.36,7.39
2015-10-03,Chinatown,26,93,0,0,0.0,0.0,12.69,21,1.37,262.5,277.69,7.96
2015-10-03,Dorchester,163,418,0,0,0.0,0.0,26.31,93,5.87,75.0,104.72,8.75
2015-10-03,Downtown,99,305,0,0,0.0,0.0,14.05,68,0.82,239.0,238.87,9.11
2015-10-03,East Boston,88,247,0,0,0.0,0.0,26.26,65,2.88,105.0,131.59,8.86
2015-10-03,Fenway,174,507,0,0,0.0,0.0,8.01,111,4.13,200.0,256.34,14.1
2015-10-03,Hyde Park,21,59,0,0,0.0,0.0,7.86,12,13.29,65.0,104.71,13.33
2015-10-03,Jamaica Plain,236,747,0,0,0.0,0.0,21.81,192,6.88,110.0,142.83,7.48
2015-10-03,Leather District,6,23,0,0,0.0,0.0,26.5,5,1092.77,464.5,431.33,23.33
2015-10-03,Longwood Medical Area,6,17,0,0,0.0,0.0,25.0,5,4.48,130.0,131.83,6.83
2015-10-03,Mattapan,17,46,0,0,0.0,0.0,14.82,10,9.18,69.0,82.71,19.76
2015-10-03,Mission Hill,61,143,0,0,0.0,0.0,15.43,45,5.24,103.0,140.44,8.95
2015-10-03,North End,104,326,0,0,0.0,0.0,23.12,74,0.8,189.5,194.38,5.88
2015-10-03,Roslindale,50,129,0,0,0.0,0.0,21.8,36,10.25,76.5,93.12,9.38
2015-10-03,Roxbury,112,333,0,0,0.0,0.0,21.77,65,4.5,110.0,148.13,9.02
2015-10-03,South Boston,114,375,0,0,0.0,0.0,19.93,95,3.25,165.0,191.62,6.81
2015-10-03,South Boston Waterfront,37,124,0,0,0.0,0.0,8.92,25,307.05,255.0,310.16,8.57
2015-10-03,South End,251,726,0,0,0.0,0.0,13.2,158,2.8,190.0,216.96,7.0
2015-10-03,West End,40,113,0,0,0.0,0.0,10.0,23,0.87,200.0,236.98,12.58
