CT_name10,AIR_count_listings,AIR_sum_has_license,AIR_sum_accommodates,AIR_calc_percent_licensed,AIR_calc_reviews_per_listing,AIR_count_hosts,AIR_median_host_distance_km,AIR_median_price,AIR_avg_price,AIR_avg_availability_30,STR_APP_Status_Active,STR_APP_Status_Expired,STR_APP_Status_Inactive,STR_APP_Status_Revoked,STR_APP_Status_Void,STR_PSD_open violation count,STR_PSD_violations in the last 6 months,BARI_count_parcels,BARI_count_units,BARI_avg_unit_living_area,BARI_avg_building_age,BARI_owner_occupancy_rate,BARI_agricult/commercial/industrial,BARI_condo/complex/residential/RCmixed,BARI_taxexempt/taxexemptBRA,PAD_avg_price,PAD_avg_beds
503.0,3.0,2.0,13.0,0.67,30.33,3.0,2.18,150.0,146.33,2.67,2.0,0.0,0.0,0.0,1.0,7.0,0.0,224,2290,853.0,45.64,0.25,0.16,0.68,0.16,2869.85,1.55
504.0,12.0,12.0,52.0,1.0,56.75,8.0,1.91,109.5,156.33,16.08,11.0,0.0,14.0,0.0,3.0,6.0,0.0,589,1593,748.0,46.42,0.34,0.06,0.92,0.02,3127.27,2.3
505.0,3.0,3.0,15.0,1.0,119.67,3.0,2.27,105.0,134.0,13.0,3.0,0.0,1.0,0.0,1.0,7.0,1.0,364,1049,1185.0,40.92,0.3,0.05,0.93,0.01,3031.1,2.89
506.0,6.0,6.0,16.0,1.0,78.0,4.0,2.2,95.0,84.83,10.17,3.0,0.0,4.0,0.0,1.0,1.0,0.0,437,1727,627.0,46.82,0.28,0.12,0.81,0.06,2882.99,2.58
507.0,15.0,9.0,63.0,0.6,208.33,11.0,2.67,155.0,139.6,7.07,6.0,0.0,6.0,0.0,4.0,6.0,0.0,838,2252,769.0,58.8,0.36,0.05,0.92,0.03,2997.5,3.0
509.01,33.0,27.0,111.0,0.82,76.27,15.0,3.78,125.0,122.12,15.39,8.0,0.0,14.0,0.0,5.0,17.0,0.0,832,3203,660.0,64.71,0.39,0.09,0.84,0.06,2932.91,2.7
510.0,8.0,7.0,32.0,0.88,101.88,6.0,4.08,145.0,127.62,15.88,7.0,0.0,3.0,0.0,1.0,2.0,0.0,890,2456,1211.0,64.91,0.52,0.07,0.89,0.04,2935.48,3.38
511.01,9.0,6.0,36.0,0.67,41.44,9.0,5.51,100.0,151.67,11.78,13.0,0.0,8.0,0.0,2.0,2.0,1.0,1342,3271,941.0,58.48,0.53,0.04,0.93,0.04,2975.76,3.09
512.0,9.0,8.0,31.0,0.89,116.78,9.0,2.24,150.0,158.67,11.22,8.0,0.0,14.0,0.0,6.0,44.0,2.0,847,2711,647.0,44.41,0.4,0.02,0.91,0.06,3002.97,2.41
601.01,7.0,7.0,24.0,1.0,119.14,5.0,3.85,125.0,196.57,15.43,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1486,1973,1131.0,34.0,0.47,0.01,0.99,0.0,3466.61,2.11
602.0,3.0,3.0,12.0,1.0,49.0,3.0,3.79,189.0,293.67,16.67,9.0,0.0,9.0,1.0,2.0,0.0,3.0,818,1176,1066.0,39.65,0.49,0.0,1.0,0.0,3394.5,1.9
603.01,2.0,2.0,12.0,1.0,87.0,2.0,3.5,362.0,362.0,3.5,4.0,0.0,1.0,0.0,3.0,2.0,0.0,1428,2165,1072.0,38.33,0.47,0.02,0.97,0.01,3902.94,2.76
604.0,26.0,21.0,94.0,0.81,66.92,19.0,3.11,179.5,203.5,12.08,11.0,1.0,10.0,0.0,2.0,29.0,1.0,1984,3227,979.0,39.82,0.46,0.01,0.99,0.01,2987.09,1.55
605.01,14.0,13.0,53.0,0.93,23.93,7.0,3.0,107.0,221.21,15.64,24.0,0.0,9.0,0.0,3.0,10.0,0.0,2258,3132,1007.0,27.47,0.4,0.05,0.95,0.01,3060.38,1.44
606.0,17.0,9.0,54.0,0.53,50.47,10.0,6.17,145.0,192.53,13.94,9.0,0.0,7.0,0.0,0.0,6.0,3.0,1682,10324,1676.0,16.84,0.31,0.1,0.83,0.07,4110.37,1.21
607.0,1.0,1.0,2.0,1.0,72.0,1.0,2.45,100.0,100.0,8.0,,,,,,,,6,394,447.0,43.5,0.0,0.0,0.0,1.0,,
608.0,20.0,17.0,104.0,0.85,71.2,16.0,2.92,191.5,335.9,14.45,12.0,0.0,9.0,0.0,5.0,24.0,19.0,2276,3399,904.0,33.07,0.39,0.05,0.94,0.01,3489.99,2.23
610.0,7.0,6.0,27.0,0.86,10.29,6.0,3.42,120.0,165.29,4.29,5.0,0.0,2.0,0.0,2.0,6.0,0.0,538,1516,599.0,33.54,0.47,0.0,0.97,0.03,3639.47,2.42
611.01,,,,,,,,,,,,,,,,,,32,1112,141.0,51.09,0.12,0.03,0.53,0.44,3618.12,3.38
612.0,14.0,14.0,44.0,1.0,115.43,11.0,3.13,130.0,156.14,13.79,9.0,0.0,14.0,0.0,1.0,4.0,1.0,2553,6417,1569.0,23.79,0.39,0.12,0.83,0.05,3446.99,1.65
701.01,109.0,59.0,401.0,0.54,32.36,29.0,2184.01,150.0,376.77,17.19,14.0,0.0,6.0,0.0,3.0,1.0,3.0,4160,18861,2153.0,14.09,0.24,0.21,0.76,0.03,4903.52,1.32
702.0,27.0,3.0,115.0,0.11,50.41,12.0,4.42,189.0,196.93,16.52,12.0,0.0,11.0,0.0,2.0,6.0,5.0,607,8546,808.0,20.84,0.23,0.16,0.66,0.18,4297.15,1.03
703.0,106.0,65.0,246.0,0.61,31.24,24.0,2183.36,121.0,165.73,17.19,20.0,0.0,14.0,0.0,4.0,57.0,7.0,2203,4516,1452.0,22.53,0.43,0.04,0.95,0.02,4207.36,1.3
704.02,2.0,1.0,5.0,0.5,20.5,2.0,1.82,122.5,122.5,10.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,304,2237,1255.0,5.84,0.24,0.07,0.84,0.09,3894.81,1.13
705.0,33.0,19.0,112.0,0.58,59.85,22.0,2.53,170.0,222.09,9.42,20.0,0.0,20.0,0.0,4.0,4.0,3.0,2444,4297,746.0,22.81,0.45,0.02,0.95,0.02,3138.72,1.72
706.0,25.0,20.0,70.0,0.8,115.68,14.0,2.42,175.0,183.4,11.16,12.0,0.0,16.0,0.0,5.0,9.0,0.0,1179,1783,989.0,23.73,0.49,0.02,0.97,0.01,4515.0,1.9
707.0,37.0,37.0,86.0,1.0,96.59,5.0,26.15,150.0,171.95,12.97,31.0,0.0,32.0,0.0,0.0,2.0,0.0,992,2749,1180.0,21.75,0.45,0.03,0.96,0.02,4119.16,1.66
708.0,11.0,7.0,39.0,0.64,80.36,8.0,2.8,219.0,318.36,11.64,7.0,0.0,13.0,0.0,5.0,0.0,3.0,1397,3363,628.0,24.35,0.39,0.02,0.96,0.02,4608.55,2.82
709.0,17.0,15.0,42.0,0.88,70.24,7.0,2.82,80.0,112.53,13.71,2.0,0.0,5.0,0.0,4.0,0.0,1.0,998,2798,610.0,24.74,0.42,0.03,0.94,0.03,3186.51,1.91
711.01,13.0,11.0,40.0,0.85,65.62,6.0,2.9,125.0,179.92,13.54,6.0,0.0,5.0,0.0,5.0,0.0,1.0,1306,6000,697.0,22.57,0.4,0.03,0.94,0.04,3513.64,2.02
712.01,2.0,1.0,10.0,0.5,55.0,2.0,2.25,227.5,227.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1240,12437,289.0,16.9,0.35,0.05,0.9,0.04,3753.93,1.83
801.0,13.0,13.0,31.0,1.0,26.85,4.0,3.98,100.0,96.46,16.23,5.0,0.0,7.0,0.0,0.0,0.0,0.0,755,3515,1308.0,56.03,0.18,0.42,0.44,0.14,2989.28,1.72
803.0,1.0,0.0,5.0,0.0,43.0,1.0,2182.29,199.0,199.0,22.0,1.0,0.0,1.0,0.0,1.0,6.0,2.0,406,2119,691.0,46.56,0.31,0.06,0.77,0.17,3053.33,2.67
804.01,3.0,1.0,9.0,0.33,129.67,3.0,3.83,110.0,121.33,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,366,3745,523.0,23.96,0.22,0.19,0.52,0.29,3584.36,2.6
805.0,2.0,1.0,12.0,0.5,106.0,1.0,3.39,142.0,142.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,193,1873,332.0,50.62,0.24,0.02,0.75,0.23,3713.56,2.9
806.01,2.0,1.0,8.0,0.5,100.5,2.0,1096.22,162.5,162.5,19.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,386,3768,1176.0,28.34,0.22,0.1,0.69,0.2,3916.27,2.75
808.01,3.0,0.0,30.0,0.0,6.0,2.0,2180.69,1090.0,1029.67,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,121,2123,908.0,36.83,0.0,0.2,0.17,0.63,3234.08,2.25
809.0,13.0,12.0,53.0,0.92,32.69,5.0,4.78,99.0,193.69,13.62,4.0,0.0,12.0,0.0,2.0,3.0,0.0,470,2010,1220.0,49.6,0.19,0.04,0.91,0.05,4119.75,3.39
810.01,12.0,3.0,41.0,0.25,37.83,8.0,296.27,209.0,201.58,12.25,1.0,0.0,4.0,0.0,2.0,14.0,2.0,769,6506,1105.0,36.4,0.22,0.04,0.77,0.19,3804.99,3.26
811.0,65.0,5.0,347.0,0.08,4.97,8.0,2179.71,279.0,288.72,18.88,4.0,0.0,4.0,0.0,3.0,2.0,0.0,924,3316,778.0,39.78,0.42,0.02,0.93,0.05,4577.12,3.08
812.0,36.0,33.0,143.0,0.92,32.69,11.0,5.45,85.0,139.25,19.89,8.0,0.0,4.0,0.0,3.0,6.0,4.0,377,1951,496.0,47.86,0.44,0.07,0.85,0.07,3775.0,3.5
813.0,9.0,8.0,28.0,0.89,123.56,7.0,5.83,120.0,121.33,17.22,4.0,0.0,1.0,0.0,2.0,2.0,0.0,604,3976,647.0,39.82,0.28,0.09,0.75,0.16,3105.0,3.29
814.0,52.0,35.0,215.0,0.67,93.71,26.0,4.6,148.5,201.0,10.23,24.0,0.0,21.0,0.0,5.0,1.0,1.0,1131,5575,410.0,36.63,0.32,0.02,0.83,0.15,3756.27,3.67
815.0,11.0,10.0,44.0,0.91,74.0,10.0,5.11,119.0,146.0,16.82,6.0,0.0,0.0,0.0,2.0,44.0,0.0,592,2664,497.0,42.62,0.42,0.01,0.89,0.1,3388.92,3.39
817.0,3.0,3.0,17.0,1.0,73.0,3.0,4.36,200.0,165.0,6.67,4.0,0.0,2.0,0.0,1.0,0.0,0.0,638,2864,726.0,50.28,0.39,0.01,0.89,0.1,3336.67,3.44
818.0,10.0,10.0,22.0,1.0,15.7,4.0,7.76,84.0,89.5,22.3,5.0,0.0,3.0,0.0,1.0,1.0,1.0,732,2875,731.0,53.61,0.4,0.04,0.87,0.09,2966.67,3.83
819.0,14.0,14.0,27.0,1.0,7.29,4.0,38.1,50.0,57.64,18.79,3.0,0.0,2.0,0.0,1.0,15.0,0.0,546,2312,754.0,56.15,0.36,0.01,0.9,0.09,2960.77,3.62
820.0,3.0,2.0,19.0,0.67,81.33,3.0,5.61,56.0,150.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,596,2762,854.0,64.78,0.44,0.03,0.86,0.12,2650.0,3.0
821.0,5.0,5.0,28.0,1.0,103.0,4.0,5.96,79.0,224.8,20.2,8.0,0.0,7.0,0.0,1.0,29.0,3.0,401,2584,848.0,50.14,0.37,0.03,0.92,0.05,3825.0,3.5
901.0,7.0,7.0,18.0,1.0,14.14,4.0,7.02,75.0,101.71,17.14,3.0,0.0,3.0,0.0,2.0,0.0,0.0,736,3188,777.0,65.05,0.41,0.02,0.91,0.07,2952.08,3.67
902.0,5.0,5.0,13.0,1.0,68.8,3.0,2182.0,44.0,72.8,15.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,325,1706,861.0,44.04,0.34,0.08,0.83,0.09,2935.71,3.0
903.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,588,3298,631.0,52.35,0.35,0.04,0.84,0.12,2600.0,4.0
904.0,9.0,9.0,41.0,1.0,9.44,5.0,5.0,104.0,111.33,16.67,5.0,0.0,16.0,0.0,3.0,39.0,37.0,868,4625,394.0,47.7,0.35,0.01,0.84,0.15,3700.0,3.5
906.0,11.0,7.0,32.0,0.64,48.82,5.0,2183.08,55.0,86.45,7.45,4.0,0.0,1.0,0.0,0.0,0.0,0.0,654,3481,401.0,53.55,0.31,0.11,0.69,0.2,2200.0,2.0
907.0,32.0,22.0,116.0,0.69,42.06,15.0,4.34,172.0,758.16,13.78,11.0,0.0,16.0,0.0,3.0,8.0,3.0,1358,3730,1119.0,44.0,0.4,0.08,0.88,0.05,3410.48,2.57
909.01,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30,574,3899.0,34.8,0.0,0.37,0.1,0.53,2492.5,1.0
910.01,34.0,33.0,82.0,0.97,168.06,15.0,5.76,76.5,78.21,15.18,14.0,0.0,12.0,0.0,3.0,4.0,0.0,1017,3128,1136.0,46.12,0.45,0.11,0.84,0.05,2836.69,2.77
911.0,32.0,25.0,166.0,0.78,67.78,16.0,4.93,99.0,222.53,16.91,15.0,0.0,9.0,0.0,1.0,5.0,8.0,1281,2492,1092.0,52.33,0.53,0.02,0.96,0.01,3508.18,3.55
912.0,3.0,3.0,8.0,1.0,45.67,2.0,5.01,75.0,72.67,17.67,4.0,0.0,6.0,0.0,1.0,5.0,2.0,728,1665,1173.0,58.66,0.53,0.03,0.93,0.04,3100.0,3.5
913.0,13.0,3.0,24.0,0.23,10.08,3.0,4.57,110.0,108.69,25.23,0.0,0.0,1.0,0.0,1.0,0.0,0.0,494,2485,622.0,53.97,0.39,0.09,0.81,0.1,2966.09,2.45
914.0,4.0,4.0,14.0,1.0,55.75,3.0,5.01,102.5,96.25,21.25,5.0,0.0,3.0,0.0,1.0,0.0,0.0,552,2359,624.0,60.7,0.46,0.03,0.88,0.09,2650.0,3.0
915.0,36.0,36.0,173.0,1.0,27.47,9.0,5.46,68.5,97.56,21.39,7.0,0.0,5.0,0.0,2.0,3.0,0.0,906,2181,998.0,47.15,0.51,0.03,0.95,0.03,3177.27,3.27
916.0,3.0,2.0,7.0,0.67,74.0,2.0,2183.21,60.0,58.33,25.33,2.0,0.0,0.0,0.0,0.0,0.0,0.0,670,1615,1093.0,53.99,0.39,0.1,0.87,0.03,2805.0,3.1
917.0,11.0,10.0,46.0,0.91,49.18,5.0,6.38,50.0,67.18,19.55,5.0,0.0,2.0,0.0,0.0,1.0,0.0,523,1382,1028.0,65.72,0.49,0.03,0.94,0.02,2625.0,3.0
918.0,17.0,17.0,58.0,1.0,49.24,6.0,2182.8,50.0,89.76,14.0,3.0,0.0,8.0,0.0,3.0,0.0,0.0,697,2226,867.0,61.8,0.46,0.06,0.88,0.06,2121.88,1.0
919.0,4.0,4.0,32.0,1.0,15.75,2.0,6.99,127.5,197.0,22.75,3.0,0.0,1.0,0.0,1.0,0.0,0.0,758,3265,609.0,62.2,0.43,0.04,0.86,0.1,3266.67,3.67
920.0,11.0,11.0,46.0,1.0,13.0,4.0,6.88,78.0,165.82,18.45,6.0,1.0,0.0,0.0,1.0,7.0,0.0,864,2985,963.0,69.58,0.52,0.03,0.91,0.07,3375.0,4.0
921.01,8.0,7.0,41.0,0.88,42.12,8.0,6.97,88.0,104.12,13.5,8.0,0.0,2.0,0.0,0.0,5.0,0.0,1700,4250,997.0,47.64,0.47,0.08,0.88,0.04,2475.0,2.36
922.0,12.0,10.0,39.0,0.83,70.08,6.0,7.14,88.5,96.08,18.08,10.0,0.0,7.0,0.0,0.0,0.0,3.0,795,2027,1162.0,66.86,0.61,0.03,0.92,0.05,3625.8,2.6
923.0,4.0,4.0,15.0,1.0,67.75,3.0,7.21,77.5,81.25,20.25,2.0,0.0,3.0,0.0,1.0,32.0,2.0,610,2059,791.0,59.69,0.49,0.05,0.89,0.06,2500.0,3.0
924.0,1.0,1.0,2.0,1.0,5.0,1.0,7.59,44.0,44.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,801,3964,701.0,59.51,0.39,0.04,0.88,0.08,2275.0,2.5
1001.0,3.0,3.0,8.0,1.0,14.33,2.0,7.76,51.0,58.33,5.33,0.0,0.0,1.0,0.0,2.0,0.0,0.0,850,3893,659.0,51.81,0.41,0.05,0.83,0.12,2416.67,2.83
