CT_name10,AIR_count_listings,AIR_sum_has_license,AIR_sum_accommodates,AIR_calc_percent_licensed,AIR_calc_reviews_per_listing,AIR_count_hosts,AIR_median_host_distance_km,AIR_median_price,AIR_avg_price,AIR_avg_availability_30,STR_APP_Status_Active,STR_APP_Status_Expired,STR_APP_Status_Inactive,STR_APP_Status_Revoked,STR_APP_Status_Void,STR_PSD_open violation count,STR_PSD_violations in the last 6 months,BARI_count_parcels,BARI_count_units,BARI_avg_unit_living_area,BARI_avg_building_age,BARI_owner_occupancy_rate,BARI_agricult/commercial/industrial,BARI_condo/complex/residential/RCmixed,BARI_taxexempt/taxexemptBRA,PAD_avg_price,PAD_avg_beds
1.0,27.0,17.0,95.0,0.63,54.85,14.0,6.93,100.0,151.26,13.3,10.0,0.0,10.0,0.0,4.0,9.0,0.0,1092,3358,2072.0,47.05,0.32,0.15,0.82,0.03,3422.72,2.15
2.01,8.0,7.0,23.0,0.88,135.38,5.0,13.86,53.5,81.0,10.75,6.0,0.0,5.0,0.0,0.0,0.0,0.0,925,1794,1199.0,56.87,0.39,0.03,0.96,0.02,2768.46,2.94
2.02,2.0,2.0,5.0,1.0,7.0,2.0,1092.38,94.0,94.0,26.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,787,1551,1289.0,56.77,0.49,0.03,0.95,0.02,3073.54,3.08
3.01,8.0,8.0,18.0,1.0,73.38,4.0,9.0,60.0,69.25,10.38,4.0,0.0,2.0,0.0,2.0,2.0,1.0,831,1455,1298.0,50.73,0.47,0.02,0.97,0.01,3587.48,3.69
3.02,15.0,14.0,62.0,0.93,47.27,7.0,18.73,95.0,117.33,15.93,5.0,0.0,12.0,0.0,2.0,0.0,0.0,1077,1582,1127.0,51.94,0.47,0.01,0.98,0.01,3407.79,3.31
4.01,8.0,5.0,17.0,0.62,51.5,6.0,7.83,60.5,73.88,5.25,5.0,0.0,6.0,0.0,2.0,0.0,4.0,1306,9177,290.0,58.5,0.27,0.0,0.98,0.02,3017.9,3.03
4.02,11.0,8.0,44.0,0.73,81.27,9.0,8.17,85.0,148.45,19.45,7.0,1.0,10.0,0.0,1.0,0.0,0.0,1005,2074,1216.0,45.54,0.37,0.03,0.94,0.03,3267.45,2.79
5.02,11.0,1.0,44.0,0.09,8.36,8.0,7.98,150.0,181.27,2.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1102,2531,976.0,37.8,0.21,0.02,0.96,0.02,2897.3,2.16
5.03,7.0,0.0,28.0,0.0,8.86,5.0,7.96,149.0,146.14,3.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,889,1538,719.0,41.35,0.24,0.0,1.0,0.0,2618.03,2.02
5.04,,,,,,,,,,,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1339,3037,826.0,37.23,0.28,0.02,0.97,0.01,2795.07,2.57
6.01,2.0,2.0,9.0,1.0,137.0,2.0,13.86,130.0,130.0,6.5,5.0,0.0,2.0,0.0,2.0,5.0,1.0,912,2352,931.0,51.56,0.37,0.05,0.92,0.03,2721.45,2.35
6.02,9.0,2.0,29.0,0.22,25.22,5.0,6.87,50.0,79.11,17.33,2.0,0.0,3.0,0.0,0.0,2.0,0.0,621,2698,1189.0,47.44,0.25,0.03,0.91,0.05,2873.9,2.33
7.01,15.0,6.0,47.0,0.4,49.87,12.0,6.86,99.0,138.53,12.4,7.0,0.0,9.0,0.0,3.0,0.0,0.0,1043,2612,837.0,43.07,0.22,0.01,0.98,0.01,2773.62,2.38
7.03,30.0,0.0,72.0,0.0,29.67,3.0,5.53,133.0,132.6,11.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,262,1809,879.0,39.54,0.1,0.14,0.85,0.02,3257.39,2.81
7.04,21.0,0.0,37.0,0.0,4.86,5.0,2178.12,77.0,79.95,21.71,1.0,0.0,6.0,0.0,2.0,0.0,0.0,1136,3397,743.0,43.89,0.17,0.03,0.97,0.0,3116.31,2.51
8.02,41.0,19.0,156.0,0.46,48.46,14.0,5.56,133.0,180.05,11.95,12.0,0.0,9.0,0.0,6.0,25.0,3.0,1422,5369,1128.0,46.1,0.24,0.13,0.84,0.03,3601.9,3.11
8.03,1.0,0.0,6.0,0.0,1.0,1.0,688.43,112.0,112.0,0.0,,,,,,,,76,939,2207.0,35.14,0.11,0.46,0.14,0.39,3344.71,2.0
101.03,3.0,3.0,5.0,1.0,47.33,1.0,3.68,170.0,158.33,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,188,2637,1464.0,27.83,0.0,0.12,0.1,0.78,2683.33,1.0
101.04,25.0,3.0,98.0,0.12,51.16,13.0,3.14,195.0,307.72,17.04,5.0,0.0,6.0,0.0,0.0,0.0,0.0,1776,27576,103.0,30.39,0.17,0.11,0.84,0.04,3073.02,1.39
102.03,56.0,28.0,196.0,0.5,14.62,10.0,2180.92,186.0,231.89,14.16,3.0,0.0,1.0,0.0,0.0,0.0,0.0,884,6231,726.0,37.14,0.15,0.08,0.89,0.03,3552.75,1.25
102.04,35.0,15.0,115.0,0.43,16.06,11.0,2180.76,183.0,215.54,15.23,2.0,0.0,3.0,0.0,0.0,0.0,1.0,661,2631,1336.0,30.14,0.18,0.03,0.84,0.13,3754.98,1.87
103.0,2.0,2.0,7.0,1.0,2.5,2.0,3260.86,274.0,274.0,21.0,,,,,,,,247,1536,3895.0,28.39,0.12,0.09,0.59,0.32,3285.58,1.65
104.03,7.0,2.0,20.0,0.29,51.14,4.0,2.91,289.0,256.71,12.14,3.0,0.0,6.0,0.0,0.0,2.0,4.0,506,2588,730.0,20.44,0.18,0.04,0.94,0.03,2912.41,1.38
104.04,4.0,2.0,10.0,0.5,46.75,4.0,1092.44,175.0,160.5,14.25,3.0,0.0,4.0,0.0,1.0,2.0,2.0,769,2934,795.0,28.69,0.13,0.01,0.94,0.05,3149.5,1.63
104.05,2.0,0.0,5.0,0.0,29.0,2.0,14.64,174.5,174.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,420,2063,1116.0,30.64,0.09,0.05,0.79,0.15,3266.53,1.82
104.08,,,,,,,,,,,,,,,,,,291,1089,600.0,26.18,0.23,0.0,0.98,0.01,2395.36,1.03
105.0,22.0,10.0,57.0,0.45,21.73,9.0,2.75,289.5,1544.5,15.95,9.0,0.0,4.0,0.0,2.0,1.0,1.0,511,3488,1090.0,28.01,0.3,0.04,0.92,0.04,4055.8,1.27
106.0,26.0,8.0,82.0,0.31,35.73,11.0,2.45,299.5,2455.15,17.54,2.0,0.0,2.0,0.0,0.0,0.0,1.0,790,4660,3522.0,19.24,0.32,0.06,0.93,0.01,4714.37,1.57
107.01,30.0,14.0,88.0,0.47,82.83,10.0,25.5,150.0,200.57,13.13,5.0,0.0,2.0,0.0,0.0,2.0,0.0,1131,2770,1085.0,27.28,0.29,0.08,0.9,0.02,3515.1,1.23
107.02,16.0,8.0,41.0,0.5,21.0,9.0,1.97,162.5,182.12,14.31,2.0,0.0,3.0,0.0,1.0,6.0,0.0,1592,2965,2111.0,25.75,0.3,0.11,0.87,0.02,3317.41,1.07
108.01,8.0,2.0,25.0,0.25,38.62,7.0,1.98,150.0,154.75,9.25,4.0,0.0,7.0,0.0,4.0,0.0,0.0,1694,2314,1007.0,28.22,0.36,0.0,0.98,0.01,3441.57,1.22
108.02,11.0,4.0,45.0,0.36,77.45,11.0,2.52,199.0,270.45,16.73,3.0,0.0,3.0,0.0,3.0,31.0,0.0,1855,2511,963.0,30.36,0.31,0.0,0.99,0.01,3281.45,1.06
201.01,35.0,13.0,119.0,0.37,66.97,19.0,0.98,189.0,237.6,10.46,11.0,0.0,19.0,0.0,0.0,7.0,7.0,2194,3841,1030.0,30.73,0.39,0.02,0.96,0.02,3604.74,1.36
202.0,30.0,8.0,97.0,0.27,82.0,19.0,0.83,196.5,276.77,10.77,7.0,0.0,11.0,0.0,5.0,5.0,6.0,1251,3463,575.0,33.61,0.3,0.02,0.96,0.01,2922.43,1.48
203.01,35.0,0.0,129.0,0.0,15.43,5.0,2021.83,249.0,258.97,17.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,924,17804,171.0,30.43,0.19,0.05,0.87,0.08,5813.08,1.38
203.02,29.0,23.0,65.0,0.79,80.07,8.0,26.78,150.0,180.55,15.34,21.0,0.0,24.0,0.0,0.0,7.0,0.0,607,1246,1027.0,29.64,0.33,0.02,0.96,0.02,2916.58,1.12
203.03,23.0,6.0,88.0,0.26,20.48,10.0,301.34,180.0,186.65,14.7,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1430,23490,353.0,22.62,0.23,0.08,0.86,0.06,3691.16,1.09
301.0,12.0,6.0,37.0,0.5,109.92,10.0,2.57,140.0,165.33,10.92,2.0,0.0,12.0,0.0,3.0,15.0,7.0,637,1932,642.0,32.47,0.31,0.02,0.97,0.01,2833.91,1.72
302.0,7.0,3.0,17.0,0.43,100.86,7.0,27.31,200.0,200.0,8.71,6.0,0.0,3.0,0.0,4.0,60.0,5.0,551,2084,560.0,22.77,0.22,0.05,0.93,0.01,2806.96,1.76
303.0,19.0,1.0,81.0,0.05,51.42,8.0,0.45,312.0,329.05,16.79,3.0,1.0,15.0,0.0,3.0,1.0,5.0,2219,8304,2784.0,30.96,0.33,0.14,0.78,0.08,3943.38,1.4
304.0,15.0,7.0,55.0,0.47,115.47,11.0,0.86,190.0,175.13,16.33,8.0,0.0,7.0,0.0,0.0,12.0,4.0,983,3556,530.0,24.39,0.25,0.05,0.89,0.06,3261.74,2.15
305.0,23.0,8.0,88.0,0.35,97.91,12.0,0.94,195.0,197.96,14.83,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1249,2690,658.0,32.41,0.42,0.03,0.95,0.02,3316.74,1.67
401.0,15.0,14.0,60.0,0.93,45.27,11.0,1.55,245.0,298.53,8.93,11.0,0.0,8.0,0.0,3.0,8.0,2.0,1252,2218,976.0,31.21,0.51,0.02,0.96,0.02,3174.75,1.25
402.0,1.0,1.0,2.0,1.0,35.0,1.0,4068.81,15.0,15.0,30.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,359,1252,547.0,33.68,0.56,0.01,0.92,0.07,2342.5,1.5
403.0,15.0,11.0,46.0,0.73,92.33,15.0,2.04,175.0,216.67,9.6,16.0,0.0,8.0,0.0,4.0,7.0,9.0,1826,2641,980.0,37.18,0.56,0.01,0.98,0.01,2948.53,1.23
404.01,8.0,8.0,22.0,1.0,40.12,3.0,1.41,233.0,226.75,0.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,876,2761,483.0,33.11,0.51,0.04,0.91,0.06,3400.83,1.5
406.0,23.0,18.0,89.0,0.78,43.87,11.0,2.9,150.0,151.91,13.52,12.0,0.0,11.0,0.0,2.0,7.0,3.0,1623,4493,1164.0,32.38,0.44,0.09,0.84,0.06,3506.32,2.18
408.01,6.0,6.0,26.0,1.0,43.67,4.0,1106.42,287.5,251.0,14.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1073,3405,1322.0,19.5,0.5,0.04,0.91,0.05,3423.92,1.29
501.01,15.0,12.0,67.0,0.8,57.4,8.0,3.02,100.0,137.73,9.47,5.0,0.0,10.0,0.0,2.0,29.0,0.0,785,1915,1018.0,68.16,0.45,0.02,0.96,0.02,2731.25,2.93
502.0,17.0,16.0,57.0,0.94,177.94,13.0,2.79,75.0,99.76,12.47,13.0,0.0,9.0,0.0,1.0,11.0,3.0,931,2469,901.0,56.68,0.4,0.04,0.94,0.02,2931.08,2.86
