,AIR_count_listings,AIR_sum_has_license,AIR_sum_accommodates,AIR_calc_percent_licensed,AIR_calc_reviews_per_listing,AIR_count_hosts,AIR_median_host_distance_km,AIR_median_price,AIR_avg_price,AIR_avg_availability_30,STR_APP_Status_Active,STR_APP_Status_Expired,STR_APP_Status_Inactive,STR_APP_Status_Revoked,STR_APP_Status_Void,STR_PSD_open violation count,STR_PSD_violations in the last 6 months,BARI_count_parcels,BARI_count_units,BARI_avg_unit_living_area,BARI_avg_building_age,BARI_owner_occupancy_rate,BARI_agricult/commercial/industrial,BARI_condo/complex/residential/RCmixed,BARI_taxexempt/taxexemptBRA,PAD_avg_price,PAD_avg_beds
Allston,130.0,36.0,396.0,0.28,33.98,40.0,6.03,130.5,132.0,13.42,25.0,0.0,31.0,0.0,16.0,40.0,3.0,4340,15757,1091.0,46.71,0.22,0.08,0.89,0.02,3295.21,2.74
Back Bay,129.0,52.0,391.0,0.4,49.17,51.0,2.65,185.0,887.25,15.01,26.0,0.0,23.0,0.0,10.0,40.0,2.0,8688,24728,1568.0,27.01,0.3,0.05,0.94,0.02,3802.07,1.27
Bay Village,61.0,50.0,140.0,0.82,26.72,13.0,2183.43,121.0,175.9,17.93,10.0,0.0,9.0,0.0,2.0,46.0,0.0,513,1530,733.0,24.85,0.39,0.09,0.88,0.03,3976.74,1.24
Beacon Hill,95.0,44.0,283.0,0.46,75.01,40.0,0.95,168.0,240.58,12.19,39.0,0.0,54.0,0.0,5.0,19.0,13.0,4059,8557,885.0,31.51,0.35,0.02,0.96,0.02,3090.81,1.42
Brighton,86.0,55.0,296.0,0.64,59.84,49.0,8.42,100.0,133.91,11.88,43.0,2.0,50.0,0.0,12.0,4.0,6.0,11490,31578,910.0,47.34,0.34,0.03,0.95,0.02,2932.09,2.56
Charlestown,68.0,58.0,245.0,0.85,54.28,43.0,2.2,190.0,214.07,10.44,47.0,0.0,30.0,0.0,10.0,25.0,14.0,6998,16605,984.0,31.74,0.51,0.04,0.92,0.04,3215.25,1.57
Chinatown,31.0,3.0,128.0,0.1,41.87,10.0,300.86,199.0,236.23,18.35,4.0,0.0,9.0,0.0,1.0,1.0,5.0,541,8625,515.0,21.43,0.17,0.18,0.64,0.18,4405.03,1.12
Dorchester,290.0,254.0,1063.0,0.88,64.28,109.0,6.62,75.0,179.7,17.58,129.0,1.0,106.0,0.0,27.0,83.0,19.0,22164,58005,1015.0,54.7,0.52,0.05,0.91,0.04,2889.98,2.54
Downtown,146.0,62.0,536.0,0.42,32.75,36.0,3.9,156.5,331.51,16.79,22.0,1.0,20.0,0.0,7.0,5.0,3.0,5589,27662,2542.0,16.2,0.23,0.19,0.74,0.07,4406.01,1.24
East Boston,134.0,112.0,504.0,0.84,100.07,77.0,3.03,110.0,130.07,12.34,79.0,0.0,83.0,0.0,27.0,132.0,7.0,8374,26643,811.0,55.25,0.42,0.05,0.9,0.05,2940.68,2.63
