,AIR_count_listings,AIR_sum_has_license,AIR_sum_accommodates,AIR_calc_percent_licensed,AIR_calc_reviews_per_listing,AIR_count_hosts,AIR_median_host_distance_km,AIR_median_price,AIR_avg_price,AIR_avg_availability_30,STR_APP_Status_Active,STR_APP_Status_Expired,STR_APP_Status_Inactive,STR_APP_Status_Revoked,STR_APP_Status_Void,STR_PSD_open violation count,STR_PSD_violations in the last 6 months,BARI_count_parcels,BARI_count_units,BARI_avg_unit_living_area,BARI_avg_building_age,BARI_owner_occupancy_rate,BARI_agricult/commercial/industrial,BARI_condo/complex/residential/RCmixed,BARI_taxexempt/taxexemptBRA,PAD_avg_price,PAD_avg_beds
Fenway,136.0,63.0,451.0,0.46,20.51,32.0,2180.8,184.0,235.87,14.43,17.0,0.0,19.0,0.0,1.0,4.0,7.0,4495,42851,526.0,30.59,0.14,0.08,0.82,0.11,3299.61,1.54
Hyde Park,18.0,15.0,50.0,0.83,48.33,14.0,13.84,70.0,89.06,11.5,16.0,3.0,11.0,0.0,9.0,6.0,0.0,9150,22352,841.0,56.86,0.65,0.04,0.92,0.04,2205.38,2.23
Jamaica Plain,207.0,170.0,763.0,0.82,71.21,130.0,6.85,122.0,154.26,15.09,127.0,1.0,73.0,0.0,30.0,17.0,9.0,12204,31434,835.0,40.09,0.54,0.03,0.93,0.04,3300.83,2.69
Leather District,1.0,1.0,2.0,1.0,10.0,1.0,0.97,170.0,170.0,12.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,536,1034,1958.0,18.92,0.39,0.23,0.76,0.01,3337.26,1.0
Longwood Medical Area,4.0,2.0,11.0,0.5,1.25,3.0,1092.68,224.0,249.0,23.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,379,2921,3321.0,18.65,0.25,0.09,0.6,0.31,2998.42,1.05
Mattapan,38.0,38.0,121.0,1.0,51.03,17.0,9.53,68.5,76.87,12.82,17.0,0.0,20.0,0.0,10.0,41.0,0.0,7107,29045,670.0,58.98,0.49,0.04,0.88,0.09,2463.29,2.8
Mission Hill,96.0,21.0,503.0,0.22,17.31,20.0,2179.69,279.0,300.2,15.52,12.0,0.0,23.0,0.0,5.0,19.0,3.0,2116,12789,647.0,43.32,0.26,0.04,0.84,0.12,4132.46,3.25
North End,60.0,25.0,209.0,0.42,103.65,32.0,0.95,192.5,190.47,13.63,18.0,0.0,26.0,0.0,8.0,88.0,22.0,4087,12364,600.0,28.71,0.34,0.05,0.92,0.02,3082.27,1.83
Roslindale,52.0,43.0,155.0,0.83,50.15,35.0,10.48,72.5,99.58,14.4,34.0,0.0,25.0,0.0,6.0,9.0,0.0,8501,16919,971.0,53.26,0.63,0.03,0.95,0.02,2667.3,2.42
Roxbury,154.0,124.0,553.0,0.81,66.5,75.0,5.0,90.5,146.72,14.17,74.0,0.0,68.0,0.0,20.0,136.0,44.0,10426,58996,609.0,47.14,0.34,0.06,0.81,0.13,3696.35,3.06
South Boston,103.0,93.0,404.0,0.9,63.77,71.0,3.18,150.0,229.37,12.42,86.0,1.0,56.0,1.0,20.0,81.0,27.0,13909,26121,978.0,32.73,0.42,0.05,0.93,0.02,3356.56,1.9
South Boston Waterfront,11.0,3.0,30.0,0.27,74.73,5.0,302.22,141.0,157.91,17.64,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1382,10582,2411.0,14.49,0.27,0.18,0.7,0.12,4187.67,1.12
South End,160.0,115.0,441.0,0.72,76.09,62.0,2.8,150.0,179.29,11.98,89.0,0.0,92.0,0.0,25.0,26.0,15.0,10408,32552,680.0,22.43,0.43,0.03,0.95,0.02,3842.99,1.63
West End,44.0,2.0,168.0,0.05,13.45,8.0,2021.82,249.0,269.43,16.61,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1807,37491,113.0,28.5,0.23,0.03,0.91,0.06,5588.03,1.37
West Roxbury,34.0,29.0,118.0,0.85,69.85,23.0,12.24,74.5,128.12,12.47,25.0,1.0,18.0,0.0,2.0,1.0,2.0,11733,28279,736.0,49.93,0.65,0.02,0.93,0.05,2683.52,1.69
Harbor Islands,,,,,,,,,,,,,,,,,,26,747,53.0,86.5,0.0,0.0,0.04,0.96,,
