air_scraped,air_Census Tract (2010),air_Count Listings,air_Sum Accomodations,air_Count Licensed,air_Count Exempt,air_Pct. Licensed,air_Pct. License Exempt,air_Avg. Reviews/Listing,air_Unique Hosts (count),air_Med. Host Distance (km.),air_Med. Price,air_Avg. Price,air_Avg. Avlblty / Next 30d
2015-10-03,406.0,14,40,0,0,0.0,0.0,11.36,12,2.74,165.0,192.14,6.64
2015-10-03,408.01,6,16,0,0,0.0,0.0,9.17,5,1.91,212.0,328.83,12.5
2015-10-03,501.01,10,41,0,0,0.0,0.0,21.1,7,2.96,200.0,182.9,5.7
2015-10-03,502.0,6,16,0,0,0.0,0.0,78.33,4,2.81,90.0,119.5,6.17
2015-10-03,503.0,7,15,0,0,0.0,0.0,2.43,6,1.77,115.0,136.29,8.43
2015-10-03,504.0,7,18,0,0,0.0,0.0,37.29,7,2.0,89.0,98.86,8.14
2015-10-03,505.0,8,24,0,0,0.0,0.0,19.12,7,2.27,124.5,144.12,5.25
2015-10-03,506.0,3,5,0,0,0.0,0.0,81.0,3,2.31,75.0,109.67,15.67
2015-10-03,507.0,7,21,0,0,0.0,0.0,39.86,5,2.74,90.0,124.0,6.29
2015-10-03,509.01,7,21,0,0,0.0,0.0,17.57,7,3.13,110.0,141.29,8.57
2015-10-03,510.0,4,10,0,0,0.0,0.0,13.0,3,1096.72,107.5,109.25,10.75
2015-10-03,511.01,15,39,0,0,0.0,0.0,19.93,8,5.45,70.0,103.4,14.53
2015-10-03,512.0,11,28,0,0,0.0,0.0,16.55,10,2.47,150.0,152.45,7.09
2015-10-03,601.01,5,11,0,0,0.0,0.0,20.2,5,3.69,111.0,150.8,14.4
2015-10-03,602.0,5,23,0,0,0.0,0.0,27.8,5,3.75,195.0,257.6,4.4
2015-10-03,603.01,5,14,0,0,0.0,0.0,5.0,5,3.49,200.0,175.0,3.2
2015-10-03,604.0,17,49,0,0,0.0,0.0,22.29,16,3.37,150.0,171.18,5.35
2015-10-03,605.01,15,63,0,0,0.0,0.0,14.33,13,3.1,220.0,288.67,10.27
2015-10-03,606.0,31,104,0,0,0.0,0.0,9.48,22,2.54,225.0,282.35,10.13
2015-10-03,607.0,2,4,0,0,0.0,0.0,56.0,2,2.28,122.5,122.5,0.0
2015-10-03,608.0,16,62,0,0,0.0,0.0,13.62,15,2.79,200.0,237.12,4.62
2015-10-03,610.0,4,14,0,0,0.0,0.0,9.0,4,3.34,190.0,183.25,5.25
2015-10-03,611.01,2,7,0,0,0.0,0.0,9.0,2,3.57,187.0,187.0,6.0
2015-10-03,612.0,48,148,0,0,0.0,0.0,20.75,36,3.27,169.0,199.92,6.73
2015-10-03,701.01,67,219,0,0,0.0,0.0,18.15,49,0.95,249.0,271.16,10.81
2015-10-03,702.0,22,79,0,0,0.0,0.0,7.55,20,3.02,262.5,277.36,8.45
2015-10-03,703.0,33,103,0,0,0.0,0.0,19.21,30,1.94,188.0,254.61,7.12
2015-10-03,704.02,14,57,0,0,0.0,0.0,4.0,5,404.15,239.0,292.93,9.86
2015-10-03,705.0,48,153,0,0,0.0,0.0,13.54,39,2.5,180.0,233.06,7.69
2015-10-03,706.0,37,88,0,0,0.0,0.0,11.68,23,2.46,190.0,219.43,6.0
2015-10-03,707.0,45,118,0,0,0.0,0.0,13.4,21,22.02,152.0,200.38,6.29
2015-10-03,708.0,45,117,0,0,0.0,0.0,9.78,34,2.89,198.0,211.24,9.29
2015-10-03,709.0,27,103,0,0,0.0,0.0,24.37,19,2.93,225.0,236.74,6.44
2015-10-03,711.01,38,112,0,0,0.0,0.0,11.76,33,2.96,167.0,180.79,5.71
2015-10-03,712.01,10,26,0,0,0.0,0.0,8.4,10,2.33,214.5,195.7,4.3
2015-10-03,803.0,10,28,0,0,0.0,0.0,37.9,6,4.2,74.5,88.7,8.9
2015-10-03,804.01,5,13,0,0,0.0,0.0,36.0,5,3.58,150.0,175.0,11.8
2015-10-03,805.0,8,23,0,0,0.0,0.0,10.12,7,4.76,117.5,154.62,7.75
2015-10-03,806.01,7,15,0,0,0.0,0.0,17.57,6,4.17,100.0,128.43,8.14
2015-10-03,808.01,4,10,0,0,0.0,0.0,7.5,4,153.2,218.0,193.75,17.75
2015-10-03,809.0,26,69,0,0,0.0,0.0,6.5,15,301.88,159.5,183.62,13.04
2015-10-03,810.01,17,33,0,0,0.0,0.0,35.24,15,5.02,89.0,92.35,3.35
2015-10-03,811.0,12,26,0,0,0.0,0.0,7.58,12,5.41,87.0,98.67,5.83
2015-10-03,812.0,12,52,0,0,0.0,0.0,20.75,11,5.54,167.5,201.92,5.17
2015-10-03,813.0,7,18,0,0,0.0,0.0,10.43,6,5.83,101.0,109.29,8.43
2015-10-03,814.0,33,92,0,0,0.0,0.0,25.12,14,4.52,110.0,133.36,7.58
2015-10-03,815.0,3,8,0,0,0.0,0.0,4.0,3,4.78,79.0,134.67,5.0
2015-10-03,817.0,4,15,0,0,0.0,0.0,41.25,3,4.41,61.5,75.75,10.25
2015-10-03,818.0,1,3,0,0,0.0,0.0,1.0,1,4.94,195.0,195.0,4.0
2015-10-03,819.0,1,2,0,0,0.0,0.0,12.0,1,5.84,80.0,80.0,4.0
2015-10-03,820.0,2,10,0,0,0.0,0.0,14.5,2,1093.64,274.0,274.0,12.5
2015-10-03,821.0,2,14,0,0,0.0,0.0,3.5,2,1093.71,277.5,277.5,15.0
2015-10-03,901.0,2,3,0,0,0.0,0.0,11.5,1,6.88,64.0,64.0,20.0
2015-10-03,902.0,2,5,0,0,0.0,0.0,20.0,2,6.05,57.0,57.0,10.0
2015-10-03,904.0,7,15,0,0,0.0,0.0,24.29,5,4.89,100.0,92.14,21.43
2015-10-03,907.0,25,52,0,0,0.0,0.0,15.92,13,4.16,80.0,102.48,5.88
2015-10-03,909.01,8,23,0,0,0.0,0.0,4.38,7,8.5,115.0,165.5,9.62
2015-10-03,910.01,20,48,0,0,0.0,0.0,55.05,11,5.54,79.0,104.45,3.85
2015-10-03,911.0,19,35,0,0,0.0,0.0,10.05,9,4.96,70.0,82.95,6.89
2015-10-03,912.0,10,37,0,0,0.0,0.0,14.3,8,5.02,111.5,133.2,7.3
2015-10-03,913.0,1,1,0,0,0.0,0.0,0.0,1,4.59,60.0,60.0,0.0
2015-10-03,914.0,1,2,0,0,0.0,0.0,1.0,1,5.03,100.0,100.0,26.0
2015-10-03,915.0,8,30,0,0,0.0,0.0,28.0,7,5.35,95.0,111.12,13.62
2015-10-03,916.0,3,6,0,0,0.0,0.0,42.0,3,6.05,89.0,94.33,12.33
2015-10-03,917.0,1,4,0,0,0.0,0.0,66.0,1,6.35,91.0,91.0,20.0
2015-10-03,918.0,1,2,0,0,0.0,0.0,49.0,1,5.58,70.0,70.0,24.0
2015-10-03,919.0,1,1,0,0,0.0,0.0,13.0,1,7.02,56.0,56.0,21.0
2015-10-03,920.0,3,7,0,0,0.0,0.0,24.33,3,7.04,80.0,145.0,5.0
2015-10-03,921.01,16,58,0,0,0.0,0.0,59.69,7,6.93,70.0,119.0,8.19
2015-10-03,922.0,6,17,0,0,0.0,0.0,92.33,3,7.3,77.0,72.17,11.67
2015-10-03,923.0,2,4,0,0,0.0,0.0,8.5,1,7.58,75.0,75.0,29.0
2015-10-03,1001.0,3,7,0,0,0.0,0.0,5.33,2,8.46,47.0,110.0,10.0
2015-10-03,1003.0,2,5,0,0,0.0,0.0,7.5,2,1095.23,69.5,69.5,24.0
2015-10-03,1004.0,11,21,0,0,0.0,0.0,10.91,4,8.56,65.0,69.82,6.27
2015-10-03,1005.0,7,9,0,0,0.0,0.0,5.0,7,8.31,75.0,77.0,19.71
2015-10-03,1006.01,9,25,0,0,0.0,0.0,14.11,7,7.81,110.0,105.0,7.89
2015-10-03,1006.03,1,1,0,0,0.0,0.0,0.0,1,8.05,80.0,80.0,21.0
2015-10-03,1007.0,1,6,0,0,0.0,0.0,0.0,1,8.36,250.0,250.0,0.0
2015-10-03,1008.0,4,15,0,0,0.0,0.0,1.5,4,8.56,140.0,178.75,6.5
2015-10-03,1009.0,7,15,0,0,0.0,0.0,11.43,6,9.75,75.0,77.14,13.14
2015-10-03,1010.02,1,5,0,0,0.0,0.0,0.0,1,9.42,105.0,105.0,30.0
2015-10-03,1011.01,8,27,0,0,0.0,0.0,21.12,3,9.24,69.0,87.38,24.62
2015-10-03,1101.03,23,61,0,0,0.0,0.0,38.74,16,8.24,80.0,110.65,9.35
2015-10-03,1102.01,2,2,0,0,0.0,0.0,2.0,1,9.87,51.5,51.5,1.0
2015-10-03,1103.01,6,16,0,0,0.0,0.0,38.5,5,9.17,114.0,147.17,8.17
2015-10-03,1104.01,4,8,0,0,0.0,0.0,35.5,4,9.82,56.5,52.5,13.25
2015-10-03,1104.03,9,29,0,0,0.0,0.0,8.22,9,10.93,89.0,109.67,10.22
2015-10-03,1105.01,3,9,0,0,0.0,0.0,23.33,2,11.01,75.0,103.33,17.0
2015-10-03,1105.02,13,36,0,0,0.0,0.0,16.15,8,10.43,79.0,93.38,8.62
2015-10-03,1106.01,1,2,0,0,0.0,0.0,35.0,1,10.34,75.0,75.0,24.0
2015-10-03,1106.07,15,37,0,0,0.0,0.0,25.13,12,10.16,90.0,102.33,7.87
2015-10-03,1201.03,19,54,0,0,0.0,0.0,19.74,16,7.42,140.0,160.16,9.26
2015-10-03,1201.04,16,55,0,0,0.0,0.0,26.0,15,7.71,116.0,140.06,7.31
2015-10-03,1201.05,5,26,0,0,0.0,0.0,20.4,5,7.87,150.0,183.8,9.0
2015-10-03,1202.01,25,76,0,0,0.0,0.0,17.88,21,7.48,119.0,156.36,7.08
2015-10-03,1203.01,35,109,0,0,0.0,0.0,14.91,28,6.44,107.0,129.23,10.51
2015-10-03,1204.0,57,206,0,0,0.0,0.0,15.23,48,6.72,125.0,157.89,5.86
2015-10-03,1205.0,11,25,0,0,0.0,0.0,32.18,9,5.99,85.0,101.73,7.18
2015-10-03,1206.0,14,33,0,0,0.0,0.0,48.0,13,6.13,99.0,115.64,4.21
2015-10-03,1207.0,7,21,0,0,0.0,0.0,5.14,7,6.12,130.0,120.86,5.14
2015-10-03,1301.0,2,8,0,0,0.0,0.0,7.5,2,1093.83,99.5,99.5,7.5
2015-10-03,1302.0,4,15,0,0,0.0,0.0,6.5,4,11.37,142.5,151.5,12.25
2015-10-03,1303.0,1,2,0,0,0.0,0.0,0.0,1,23.26,130.0,130.0,0.0
2015-10-03,1304.02,3,10,0,0,0.0,0.0,61.33,2,4337.72,95.0,105.0,9.33
2015-10-03,1304.04,1,2,0,0,0.0,0.0,18.0,1,12.96,75.0,75.0,23.0
2015-10-03,1304.06,1,2,0,0,0.0,0.0,0.0,1,2175.82,160.0,160.0,0.0
2015-10-03,1401.07,4,12,0,0,0.0,0.0,10.75,2,12.9,102.5,115.0,16.75
2015-10-03,1402.01,3,3,0,0,0.0,0.0,3.0,1,15.03,35.0,37.0,5.0
2015-10-03,1402.02,6,12,0,0,0.0,0.0,11.33,4,13.78,70.0,69.5,20.5
2015-10-03,1403.0,5,28,0,0,0.0,0.0,7.4,3,12.08,250.0,204.6,3.4
2015-10-03,1404.0,3,4,0,0,0.0,0.0,2.67,2,10.95,50.0,62.67,19.33
2015-10-03,9803.0,1,2,0,0,0.0,0.0,29.0,1,6.76,59.0,59.0,10.0
2015-10-03,9810.0,2,7,0,0,0.0,0.0,59.0,2,1094.14,160.0,160.0,10.5
2015-10-03,9811.0,3,6,0,0,0.0,0.0,2.33,2,8.28,75.0,73.33,4.67
2015-10-03,9812.02,1,2,0,0,0.0,0.0,44.0,1,2.61,144.0,144.0,6.0
2015-10-03,9813.0,2,4,0,0,0.0,0.0,10.5,2,2.52,127.0,127.0,4.0
2015-10-03,9815.01,18,52,0,0,0.0,0.0,12.56,17,2.88,192.5,210.5,7.94
2015-10-03,9816.0,1,5,0,0,0.0,0.0,0.0,1,6.48,130.0,130.0,30.0
2015-10-03,9817.0,14,56,0,0,0.0,0.0,16.0,13,1.23,275.0,351.21,6.21
2015-10-03,9818.0,17,41,0,0,0.0,0.0,7.59,17,4.05,103.0,140.59,7.24
2016-09-07,1.0,55,129,0,0,0.0,0.0,8.38,28,6.79,89.0,121.89,8.11
2016-09-07,2.01,13,35,0,0,0.0,0.0,23.23,10,8.6,85.0,102.92,8.15
2016-09-07,2.02,6,20,0,0,0.0,0.0,48.5,6,8.02,97.5,143.33,10.5
2016-09-07,3.01,11,41,0,0,0.0,0.0,18.27,7,18.86,99.0,138.55,8.27
2016-09-07,3.02,10,32,0,0,0.0,0.0,22.6,9,9.06,99.5,105.3,10.8
2016-09-07,4.01,13,42,0,0,0.0,0.0,9.38,12,7.74,140.0,134.46,6.23
2016-09-07,4.02,13,48,0,0,0.0,0.0,23.62,13,8.32,115.0,149.46,9.31
2016-09-07,5.02,17,47,0,0,0.0,0.0,5.94,17,8.26,114.0,119.88,2.41
2016-09-07,5.03,12,32,0,0,0.0,0.0,13.17,10,8.0,125.0,126.33,3.0
2016-09-07,5.04,21,53,0,0,0.0,0.0,9.0,19,7.51,110.0,118.24,4.81
2016-09-07,6.01,7,20,0,0,0.0,0.0,1.0,7,7.83,79.0,266.71,15.57
2016-09-07,6.02,24,51,0,0,0.0,0.0,26.38,16,6.92,68.5,82.33,3.67
2016-09-07,7.01,39,97,0,0,0.0,0.0,20.46,36,6.73,75.0,99.33,7.67
2016-09-07,7.03,33,95,0,0,0.0,0.0,12.79,25,5.87,85.0,106.39,3.52
2016-09-07,7.04,38,93,0,0,0.0,0.0,8.92,31,6.34,100.0,118.42,6.76
2016-09-07,8.02,93,218,0,0,0.0,0.0,13.22,53,5.81,77.0,95.91,5.99
2016-09-07,8.03,12,30,0,0,0.0,0.0,4.58,11,5.35,94.5,105.33,8.42
2016-09-07,101.03,9,16,0,0,0.0,0.0,6.89,7,3.75,135.0,147.22,8.11
2016-09-07,101.04,42,143,0,0,0.0,0.0,18.64,33,3.03,195.5,276.74,6.86
2016-09-07,102.03,111,405,0,0,0.0,0.0,6.44,37,646.54,241.0,251.41,21.15
2016-09-07,102.04,41,127,0,0,0.0,0.0,6.73,22,2180.65,193.0,201.61,12.71
2016-09-07,103.0,5,9,0,0,0.0,0.0,96.6,4,4.58,84.0,96.0,9.0
2016-09-07,104.03,35,77,0,0,0.0,0.0,10.51,30,2.99,155.0,208.29,7.37
2016-09-07,104.04,27,56,0,0,0.0,0.0,10.81,27,3.23,90.0,153.63,2.78
2016-09-07,104.05,11,23,0,0,0.0,0.0,8.45,11,3.15,100.0,135.18,4.27
2016-09-07,104.08,5,13,0,0,0.0,0.0,19.2,4,3.62,89.0,112.2,5.2
2016-09-07,105.0,25,73,0,0,0.0,0.0,14.0,23,2.72,165.0,199.68,6.76
2016-09-07,106.0,74,281,0,0,0.0,0.0,10.97,29,353.74,298.0,287.09,17.72
2016-09-07,107.01,73,219,0,0,0.0,0.0,10.12,49,2.46,209.0,243.07,6.88
2016-09-07,107.02,29,89,0,0,0.0,0.0,13.17,24,1.82,200.0,253.21,7.62
2016-09-07,108.01,35,110,0,0,0.0,0.0,28.49,25,1.85,200.0,232.83,5.31
2016-09-07,108.02,36,106,0,0,0.0,0.0,20.64,30,2.57,165.5,193.92,7.78
2016-09-07,201.01,86,240,0,0,0.0,0.0,17.52,66,1.0,199.0,253.43,5.57
2016-09-07,202.0,60,184,0,0,0.0,0.0,26.47,49,0.81,196.5,200.52,5.77
2016-09-07,203.01,34,131,0,0,0.0,0.0,2.21,12,2183.74,199.0,216.5,22.74
2016-09-07,203.02,39,100,0,0,0.0,0.0,19.9,23,0.49,155.0,186.87,3.08
2016-09-07,203.03,36,141,0,0,0.0,0.0,5.19,18,430.8,222.0,216.97,14.28
2016-09-07,301.0,26,77,0,0,0.0,0.0,66.04,20,0.79,157.5,166.27,4.31
2016-09-07,302.0,26,86,0,0,0.0,0.0,13.96,25,0.6,190.0,189.38,3.65
2016-09-07,303.0,49,192,0,0,0.0,0.0,10.53,38,0.74,235.0,237.49,8.59
2016-09-07,304.0,42,130,0,0,0.0,0.0,32.57,36,0.77,159.5,184.5,3.74
2016-09-07,305.0,32,117,0,0,0.0,0.0,26.34,24,0.95,179.5,208.53,5.31
2016-09-07,401.0,17,48,0,0,0.0,0.0,23.0,14,1.56,200.0,220.47,7.0
2016-09-07,402.0,6,22,0,0,0.0,0.0,2.5,6,1.73,225.0,228.67,7.33
2016-09-07,403.0,21,80,0,0,0.0,0.0,41.95,19,2.04,180.0,216.43,5.19
2016-09-07,404.01,7,25,0,0,0.0,0.0,25.57,5,2.06,210.0,220.43,5.29
2016-09-07,406.0,29,94,0,0,0.0,0.0,10.03,23,4.45,175.0,203.55,7.34
2016-09-07,408.01,8,23,0,0,0.0,0.0,15.12,8,1.92,212.0,202.0,7.25
2016-09-07,501.01,13,49,0,0,0.0,0.0,22.69,11,2.93,128.0,166.08,14.92
2016-09-07,502.0,10,26,0,0,0.0,0.0,92.8,8,2.81,95.0,100.1,8.3
2016-09-07,503.0,9,23,0,0,0.0,0.0,9.11,8,1.79,130.0,125.44,4.11
2016-09-07,504.0,26,63,0,0,0.0,0.0,32.08,18,1.93,87.0,83.23,8.0
2016-09-07,505.0,16,36,0,0,0.0,0.0,43.44,11,2.23,99.0,98.5,6.44
2016-09-07,506.0,4,7,0,0,0.0,0.0,11.75,4,2.23,75.0,102.5,14.75
2016-09-07,507.0,16,54,0,0,0.0,0.0,50.69,9,2.76,141.5,159.62,9.06
2016-09-07,509.01,12,50,0,0,0.0,0.0,14.08,9,3.23,124.0,148.25,13.83
2016-09-07,510.0,4,14,0,0,0.0,0.0,16.0,3,1096.81,103.5,111.75,2.25
2016-09-07,511.01,19,54,0,0,0.0,0.0,46.63,10,5.5,72.0,106.68,15.84
2016-09-07,512.0,18,50,0,0,0.0,0.0,32.28,15,2.34,107.5,118.44,11.78
2016-09-07,601.01,11,32,0,0,0.0,0.0,15.36,10,3.81,140.0,154.45,6.0
2016-09-07,602.0,6,32,0,0,0.0,0.0,36.5,6,3.79,212.5,225.0,8.17
2016-09-07,603.01,7,17,0,0,0.0,0.0,6.0,7,3.64,150.0,147.71,1.86
2016-09-07,604.0,21,77,0,0,0.0,0.0,25.62,19,3.38,185.0,204.38,5.52
2016-09-07,605.01,25,83,0,0,0.0,0.0,23.28,15,2.94,155.0,239.92,9.64
2016-09-07,606.0,84,308,0,0,0.0,0.0,9.5,48,306.78,207.0,280.26,13.68
2016-09-07,607.0,3,14,0,0,0.0,0.0,26.67,3,2.42,175.0,161.33,6.33
2016-09-07,608.0,28,91,0,0,0.0,0.0,19.46,26,2.8,150.0,213.5,5.75
2016-09-07,610.0,14,76,0,0,0.0,0.0,15.29,9,3.2,200.0,208.07,11.57
2016-09-07,611.01,2,8,0,0,0.0,0.0,46.0,2,3.57,204.5,204.5,13.0
2016-09-07,612.0,51,152,0,0,0.0,0.0,22.24,37,3.2,159.0,190.37,9.71
2016-09-07,701.01,112,399,0,0,0.0,0.0,17.82,63,7.94,243.5,254.04,10.67
2016-09-07,702.0,70,257,0,0,0.0,0.0,12.16,39,305.62,199.0,214.13,14.3
2016-09-07,703.0,59,188,0,0,0.0,0.0,15.27,50,1.92,200.0,248.44,7.85
2016-09-07,704.02,31,116,0,0,0.0,0.0,18.1,12,404.07,195.0,212.94,7.58
2016-09-07,705.0,53,160,0,0,0.0,0.0,22.04,44,2.35,190.0,226.91,5.64
2016-09-07,706.0,45,114,0,0,0.0,0.0,18.24,26,2.43,183.0,216.71,6.47
2016-09-07,707.0,51,119,0,0,0.0,0.0,15.88,27,21.95,152.0,181.0,6.35
2016-09-07,708.0,47,142,0,0,0.0,0.0,13.26,34,2.78,199.0,217.28,7.57
2016-09-07,709.0,43,160,0,0,0.0,0.0,22.49,34,2.94,167.0,199.12,6.49
2016-09-07,711.01,42,113,0,0,0.0,0.0,16.69,36,2.97,162.5,172.62,5.55
2016-09-07,712.01,10,32,0,0,0.0,0.0,2.9,10,2.48,200.0,208.4,2.0
2016-09-07,801.0,4,7,0,0,0.0,0.0,2.5,3,1093.33,75.0,62.5,10.5
2016-09-07,803.0,9,29,0,0,0.0,0.0,52.0,5,4.21,65.0,79.0,10.11
2016-09-07,804.01,5,15,0,0,0.0,0.0,28.2,4,3.73,120.0,137.4,4.2
2016-09-07,805.0,9,35,0,0,0.0,0.0,15.0,7,4.73,135.0,165.0,5.33
2016-09-07,806.01,7,21,0,0,0.0,0.0,4.29,5,9.68,169.0,323.43,1.71
2016-09-07,808.01,13,31,0,0,0.0,0.0,7.23,11,4.53,100.0,138.85,13.69
2016-09-07,809.0,46,109,0,0,0.0,0.0,6.7,29,4.7,99.5,122.5,8.39
2016-09-07,810.01,24,49,0,0,0.0,0.0,27.62,22,5.08,79.5,122.08,2.46
2016-09-07,811.0,28,72,0,0,0.0,0.0,7.75,25,5.49,80.0,92.54,5.79
2016-09-07,812.0,16,52,0,0,0.0,0.0,29.56,14,5.6,122.0,142.38,3.62
2016-09-07,813.0,10,38,0,0,0.0,0.0,21.9,10,5.8,104.0,130.5,8.8
2016-09-07,814.0,51,149,0,0,0.0,0.0,35.98,24,4.54,99.0,144.8,6.16
2016-09-07,815.0,4,12,0,0,0.0,0.0,8.0,4,4.78,99.5,128.5,3.5
2016-09-07,817.0,5,30,0,0,0.0,0.0,47.8,4,4.48,120.0,133.4,8.2
2016-09-07,818.0,5,15,0,0,0.0,0.0,1.4,3,4.36,75.0,99.0,5.0
2016-09-07,819.0,2,4,0,0,0.0,0.0,12.0,2,5.58,50.0,50.0,10.0
2016-09-07,820.0,2,10,0,0,0.0,0.0,43.0,2,5.72,280.0,280.0,12.0
2016-09-07,821.0,4,23,0,0,0.0,0.0,1.75,3,6.0,250.0,249.75,20.75
2016-09-07,901.0,6,14,0,0,0.0,0.0,4.83,3,6.85,64.0,87.67,9.33
2016-09-07,902.0,1,2,0,0,0.0,0.0,47.0,1,6.08,45.0,45.0,20.0
2016-09-07,903.0,4,9,0,0,0.0,0.0,15.25,4,5.61,72.0,79.5,22.5
2016-09-07,904.0,5,9,0,0,0.0,0.0,23.0,4,5.22,90.0,82.0,26.0
2016-09-07,906.0,5,12,0,0,0.0,0.0,10.6,3,4.52,89.0,82.6,25.2
2016-09-07,907.0,36,80,0,0,0.0,0.0,20.42,17,4.2,80.0,92.36,8.61
2016-09-07,909.01,11,25,0,0,0.0,0.0,4.27,11,2185.2,60.0,77.09,5.45
2016-09-07,910.01,27,60,0,0,0.0,0.0,72.74,14,5.64,70.0,91.7,4.04
2016-09-07,911.0,23,52,0,0,0.0,0.0,20.65,15,4.75,70.0,82.13,8.26
2016-09-07,912.0,17,59,0,0,0.0,0.0,23.06,15,5.03,108.0,121.94,5.24
2016-09-07,913.0,2,10,0,0,0.0,0.0,7.5,2,1093.91,144.0,144.0,11.0
2016-09-07,914.0,1,2,0,0,0.0,0.0,2.0,1,5.03,100.0,100.0,30.0
2016-09-07,915.0,10,44,0,0,0.0,0.0,34.7,9,5.35,109.5,116.5,6.0
