air_scraped,air_Census Tract (2010),air_Count Listings,air_Sum Accomodations,air_Count Licensed,air_Count Exempt,air_Pct. Licensed,air_Pct. License Exempt,air_Avg. Reviews/Listing,air_Unique Hosts (count),air_Med. Host Distance (km.),air_Med. Price,air_Avg. Price,air_Avg. Avlblty / Next 30d
2015-10-03,1.0,27,56,0,0,0.0,0.0,4.37,14,6.81,89.0,91.04,7.89
2015-10-03,2.01,14,35,0,0,0.0,0.0,10.57,9,8.54,87.0,110.0,5.14
2015-10-03,2.02,4,8,0,0,0.0,0.0,42.75,4,7.91,95.0,92.5,4.0
2015-10-03,3.01,5,27,0,0,0.0,0.0,30.6,3,9.09,125.0,217.2,13.4
2015-10-03,3.02,10,30,0,0,0.0,0.0,16.0,9,9.1,77.5,96.3,11.1
2015-10-03,4.01,13,33,0,0,0.0,0.0,13.85,11,7.83,99.0,128.08,8.46
2015-10-03,4.02,8,31,0,0,0.0,0.0,18.12,7,8.45,105.0,136.12,11.5
2015-10-03,5.02,9,20,0,0,0.0,0.0,5.33,8,8.15,120.0,141.56,11.11
2015-10-03,5.03,10,29,0,0,0.0,0.0,5.8,7,7.8,127.5,132.3,3.7
2015-10-03,5.04,16,44,0,0,0.0,0.0,9.0,16,7.56,117.5,115.81,3.81
2015-10-03,6.01,7,20,0,0,0.0,0.0,9.57,5,7.13,65.0,83.71,2.57
2015-10-03,6.02,15,28,0,0,0.0,0.0,18.33,8,6.79,95.0,89.33,7.27
2015-10-03,7.01,19,53,0,0,0.0,0.0,19.26,16,6.69,106.0,117.74,6.21
2015-10-03,7.03,18,54,0,0,0.0,0.0,5.56,15,5.89,100.0,133.61,4.56
2015-10-03,7.04,16,35,0,0,0.0,0.0,10.06,16,6.41,77.5,113.5,9.44
2015-10-03,8.02,50,125,0,0,0.0,0.0,10.48,34,5.93,86.0,124.2,9.06
2015-10-03,8.03,9,30,0,0,0.0,0.0,10.67,9,5.11,120.0,137.22,9.56
2015-10-03,101.03,2,5,0,0,0.0,0.0,18.5,2,1092.25,187.0,187.0,6.0
2015-10-03,101.04,32,85,0,0,0.0,0.0,12.56,30,3.01,200.0,196.72,9.03
2015-10-03,102.03,72,243,0,0,0.0,0.0,4.88,25,1413.63,308.0,337.72,21.43
2015-10-03,102.04,23,65,0,0,0.0,0.0,5.65,17,4.17,258.0,299.04,17.3
2015-10-03,103.0,6,12,0,0,0.0,0.0,30.67,5,4.6,91.5,118.17,6.0
2015-10-03,104.03,18,38,0,0,0.0,0.0,9.17,18,3.05,155.0,157.89,2.33
2015-10-03,104.04,8,19,0,0,0.0,0.0,12.25,8,3.24,165.0,155.5,5.12
2015-10-03,104.05,4,10,0,0,0.0,0.0,1.0,4,2.99,152.5,148.75,6.5
2015-10-03,104.08,8,28,0,0,0.0,0.0,13.0,8,3.61,187.5,195.25,6.75
2015-10-03,105.0,14,37,0,0,0.0,0.0,10.93,14,2.77,180.0,286.79,7.64
2015-10-03,106.0,42,156,0,0,0.0,0.0,9.14,27,304.22,289.0,327.98,13.48
2015-10-03,107.01,47,122,0,0,0.0,0.0,8.57,33,2.66,200.0,230.04,4.98
2015-10-03,107.02,24,63,0,0,0.0,0.0,11.29,21,1.81,202.5,218.08,7.62
2015-10-03,108.01,24,64,0,0,0.0,0.0,3.62,22,1.83,199.5,229.21,4.79
2015-10-03,108.02,26,72,0,0,0.0,0.0,24.88,23,2.71,197.0,200.0,8.31
2015-10-03,201.01,47,128,0,0,0.0,0.0,16.74,35,1.07,195.0,225.23,6.38
2015-10-03,202.0,50,127,0,0,0.0,0.0,17.92,43,0.78,189.0,206.7,5.18
2015-10-03,203.01,35,98,0,0,0.0,0.0,10.46,19,0.86,200.0,244.57,13.09
2015-10-03,203.02,29,62,0,0,0.0,0.0,13.72,15,0.52,145.0,144.62,6.48
2015-10-03,203.03,23,73,0,0,0.0,0.0,3.17,17,4.13,249.0,258.83,8.35
2015-10-03,301.0,18,40,0,0,0.0,0.0,52.94,14,0.79,150.0,155.33,2.72
2015-10-03,302.0,15,44,0,0,0.0,0.0,9.6,15,0.63,200.0,188.47,6.53
2015-10-03,303.0,31,110,0,0,0.0,0.0,17.45,23,0.66,200.0,216.61,9.74
2015-10-03,304.0,39,112,0,0,0.0,0.0,19.13,30,0.72,172.0,165.26,3.15
2015-10-03,305.0,22,76,0,0,0.0,0.0,20.68,18,1.04,225.0,230.82,8.64
2015-10-03,401.0,11,37,0,0,0.0,0.0,30.73,10,1.56,195.0,225.91,8.18
2015-10-03,402.0,4,10,0,0,0.0,0.0,16.75,4,1.86,170.0,181.25,4.75
2015-10-03,403.0,27,98,0,0,0.0,0.0,26.22,25,2.09,180.0,225.44,7.85
2015-10-03,404.01,5,15,0,0,0.0,0.0,32.0,3,1.94,235.0,268.0,1.2
