pro_Census Tract (2010),pro_Count Parcels,pro_Count Units,pro_Avg Living Area / Unit,pro_Avg Building Age,pro_Pct. units owner-occupied
1102.01,461,1212,762.0,53.59,55.75
1103.01,916,1676,950.0,47.92,63.54
1104.01,997,2101,864.0,52.61,61.48
1104.03,1418,2564,963.0,56.61,72.28
1105.01,1103,1535,1281.0,54.74,71.44
1105.02,1301,2334,1090.0,53.03,58.57
1106.01,1061,1835,1128.0,47.61,80.58
1106.07,1899,3658,966.0,51.06,62.51
1201.03,681,974,1496.0,37.0,64.9
1201.04,850,1345,840.0,35.97,51.65
1201.05,1017,1466,1820.0,40.3,75.42
1202.01,1164,3057,938.0,39.69,48.54
1203.01,1503,5771,542.0,42.2,49.7
1204.0,2303,5430,821.0,35.29,55.84
1205.0,631,1452,821.0,37.07,43.9
1206.0,828,1778,838.0,41.25,53.5
1207.0,537,1802,901.0,38.08,46.93
1301.0,2747,5269,782.0,48.79,67.31
1302.0,1741,2584,1444.0,56.56,71.86
1303.0,1731,2464,1400.0,53.32,73.95
1304.02,1985,3095,1270.0,48.75,63.02
1304.04,1634,9790,181.0,44.92,41.92
1304.06,832,3285,520.0,44.14,61.06
1401.02,1720,4053,838.0,46.88,59.83
1401.05,1173,2925,610.0,57.43,71.44
1401.06,107,748,1207.0,55.54,56.07
1401.07,792,2143,650.0,61.64,66.16
1402.01,580,1931,968.0,59.0,55.34
1402.02,1510,2689,1065.0,59.64,74.7
1403.0,1588,4722,968.0,57.82,57.3
1404.0,2402,4676,808.0,57.71,64.32
9801.01,27,777,51.0,86.5,0.0
9803.0,6,46,2374.0,118.0,0.0
9807.0,28,706,53.0,109.0,0.0
9810.0,13,278,96.0,93.0,0.0
9811.0,71,979,379.0,31.61,23.94
9812.01,19,209,397.0,92.86,0.0
9812.02,102,1575,3396.0,37.62,0.0
9813.0,332,2332,115.0,15.78,46.08
9815.01,12,130,545.0,37.8,0.0
9815.02,3,13,30174.0,23.5,0.0
9816.0,9,102,458.0,13.25,0.0
9817.0,7,7,50000.0,67.0,0.0
9818.0,11,126,126.0,53.5,0.0
9901.01,2,30,0.0,,0.0
