pad_scraped,pad_Census Tract (2010),pad_Count Listings,pad_Med. Price/mo.,pad_Avg. Price/mo.,pad_Avg. Beds,pad_Med. Price/mo./Bed,pad_Avg. Price/mo./Bed
2013-02-18,1.0,16,2450.0,2578.12,2.62,933.33,982.14
2013-02-18,2.01,12,2325.0,2545.83,3.0,775.0,848.61
2013-02-18,2.02,13,2300.0,2425.0,3.0,766.67,808.33
2013-02-18,3.01,8,2100.0,2118.75,2.5,840.0,847.5
2013-02-18,3.02,7,2300.0,2792.86,3.14,731.82,888.64
2013-02-18,4.01,38,2125.0,2401.97,2.61,815.66,921.97
2013-02-18,4.02,27,1850.0,2226.85,2.3,805.65,969.76
2013-02-18,5.02,57,2000.0,2313.6,2.12,942.15,1089.88
2013-02-18,5.03,31,2175.0,2419.35,2.23,977.17,1086.96
2013-02-18,5.04,62,2500.0,2561.69,3.0,833.33,853.9
2013-02-18,6.01,23,2500.0,2614.13,3.13,798.61,835.07
2013-02-18,6.02,51,1600.0,2141.18,2.08,769.81,1030.19
2013-02-18,7.01,78,2300.0,2491.67,2.56,897.0,971.75
2013-02-18,7.03,95,2400.0,2432.11,2.42,991.3,1004.57
2013-02-18,7.04,117,2500.0,2567.74,3.07,814.76,836.84
2013-02-18,8.02,173,2800.0,3107.51,3.61,776.28,861.54
2013-02-18,101.03,6,3325.0,3316.67,2.17,1534.62,1530.77
2013-02-18,101.04,67,2800.0,2752.61,1.72,1631.3,1603.7
2013-02-18,102.03,57,1925.0,2391.23,1.33,1443.75,1793.42
2013-02-18,102.04,93,2400.0,2717.47,2.23,1078.26,1220.89
2013-02-18,103.0,5,2000.0,2480.0,2.2,909.09,1127.27
2013-02-18,104.03,51,2750.0,2749.51,1.82,1508.06,1507.8
2013-02-18,104.04,55,2600.0,3056.36,2.13,1222.22,1436.75
2013-02-18,104.05,33,2100.0,2436.36,1.58,1332.69,1546.15
2013-02-18,104.08,21,1850.0,1976.19,1.19,1554.0,1660.0
2013-02-18,105.0,46,2150.0,2450.54,1.04,2060.42,2348.44
2013-02-18,106.0,35,4200.0,4177.86,1.43,2940.0,2924.5
2013-02-18,107.01,60,2500.0,2884.17,1.23,2027.03,2338.51
2013-02-18,107.02,14,1950.0,2753.57,1.07,1820.0,2570.0
2013-02-18,108.01,18,3100.0,3016.67,1.17,2657.14,2585.71
2013-02-18,108.02,40,2600.0,2842.5,1.48,1762.71,1927.12
2013-02-18,201.01,36,2650.0,3036.11,1.64,1616.95,1852.54
2013-02-18,202.0,49,2600.0,2675.0,1.98,1313.4,1351.29
2013-02-18,203.01,7,2650.0,2639.29,1.14,2318.75,2309.38
2013-02-18,203.02,14,2350.0,2294.64,1.29,1827.78,1784.72
2013-02-18,203.03,17,3200.0,3083.82,1.41,2266.67,2184.38
2013-02-18,301.0,6,2525.0,2733.33,1.67,1515.0,1640.0
2013-02-18,302.0,17,2700.0,2823.53,1.71,1582.76,1655.17
2013-02-18,303.0,30,3000.0,3220.83,1.6,1875.0,2013.02
2013-02-18,304.0,12,2400.0,2427.08,1.42,1694.12,1713.24
2013-02-18,305.0,24,3500.0,3382.29,2.0,1750.0,1691.15
2013-02-18,401.0,3,3500.0,3233.33,2.0,1750.0,1616.67
2013-02-18,403.0,3,1900.0,2083.33,1.33,1425.0,1562.5
2013-02-18,406.0,7,2000.0,2042.86,1.29,1555.56,1588.89
2013-02-18,408.01,12,3000.0,2933.33,1.08,2769.23,2707.69
2013-02-18,501.01,2,2400.0,2400.0,4.0,600.0,600.0
2013-02-18,502.0,3,1500.0,1383.33,2.33,642.86,592.86
2013-02-18,503.0,1,700.0,700.0,0.0,inf,inf
2013-02-18,504.0,3,1500.0,1500.0,1.67,900.0,900.0
2013-02-18,505.0,3,1500.0,1466.67,2.0,750.0,733.33
2013-02-18,507.0,7,1600.0,1539.29,1.29,1244.44,1197.22
2013-02-18,510.0,7,1800.0,1857.14,2.57,700.0,722.22
2013-02-18,511.01,1,1400.0,1400.0,3.0,466.67,466.67
