pad_scraped,pad_Census Tract (2010),pad_Count Listings,pad_Med. Price/mo.,pad_Avg. Price/mo.,pad_Avg. Beds,pad_Med. Price/mo./Bed,pad_Avg. Price/mo./Bed
2013-02-18,512.0,2,2400.0,2400.0,2.0,1200.0,1200.0
2013-02-18,601.01,6,1812.5,2125.0,1.67,1087.5,1275.0
2013-02-18,603.01,4,2450.0,2475.0,2.25,1088.89,1100.0
2013-02-18,604.0,5,2500.0,2360.0,1.8,1388.89,1311.11
2013-02-18,605.01,13,2600.0,2703.85,2.15,1207.14,1255.36
2013-02-18,606.0,18,3000.0,2987.5,1.83,1636.36,1629.55
2013-02-18,608.0,3,1900.0,1983.33,1.67,1140.0,1190.0
2013-02-18,610.0,2,1800.0,1800.0,2.0,900.0,900.0
2013-02-18,612.0,15,2875.0,3073.33,1.47,1960.23,2095.45
2013-02-18,701.01,34,3087.5,3130.88,1.26,2441.28,2475.58
2013-02-18,702.0,8,2150.0,2259.38,1.12,1911.11,2008.33
2013-02-18,703.0,21,2850.0,2917.86,1.81,1575.0,1612.5
2013-02-18,704.02,1,4400.0,4400.0,3.0,1466.67,1466.67
2013-02-18,705.0,19,2600.0,2478.95,1.42,1829.63,1744.44
2013-02-18,706.0,14,3375.0,3762.5,1.71,1968.75,2194.79
2013-02-18,707.0,20,2800.0,3306.25,1.8,1555.56,1836.81
2013-02-18,708.0,26,2850.0,2978.85,1.69,1684.09,1760.23
2013-02-18,709.0,16,2487.5,3289.06,2.44,1020.51,1349.36
2013-02-18,711.01,32,2600.0,2829.69,1.91,1363.93,1484.43
2013-02-18,712.01,9,3175.0,3072.22,2.22,1428.75,1382.5
2013-02-18,804.01,3,2000.0,2683.33,3.0,666.67,894.44
2013-02-18,805.0,7,3100.0,3228.57,2.86,1085.0,1130.0
2013-02-18,806.01,10,3000.0,3370.0,3.0,1000.0,1123.33
2013-02-18,808.01,4,2825.0,2987.5,2.75,1027.27,1086.36
2013-02-18,809.0,65,3600.0,3460.77,3.46,1040.0,999.78
2013-02-18,810.01,52,3300.0,3162.02,3.15,1046.34,1002.59
2013-02-18,811.0,41,3000.0,3087.8,3.22,931.82,959.09
2013-02-18,812.0,1,3000.0,3000.0,3.0,1000.0,1000.0
2013-02-18,813.0,2,3400.0,3400.0,0.5,6800.0,6800.0
2013-02-18,814.0,10,2662.5,2967.5,3.2,832.03,927.34
2013-02-18,815.0,2,1550.0,1550.0,2.5,620.0,620.0
2013-02-18,817.0,5,1350.0,1330.0,1.8,750.0,738.89
2013-02-18,818.0,1,1700.0,1700.0,2.0,850.0,850.0
2013-02-18,819.0,1,1700.0,1700.0,2.0,850.0,850.0
2013-02-18,820.0,1,2350.0,2350.0,5.0,470.0,470.0
2013-02-18,821.0,1,1550.0,1550.0,2.0,775.0,775.0
2013-02-18,901.0,1,1000.0,1000.0,1.0,1000.0,1000.0
2013-02-18,902.0,1,1600.0,1600.0,3.0,533.33,533.33
2013-02-18,903.0,1,1600.0,1600.0,3.0,533.33,533.33
2013-02-18,904.0,1,1650.0,1650.0,4.0,412.5,412.5
2013-02-18,906.0,1,1600.0,1600.0,2.0,800.0,800.0
2013-02-18,907.0,3,3000.0,3000.0,5.0,600.0,600.0
2013-02-18,909.01,10,1975.0,2240.0,1.5,1316.67,1493.33
2013-02-18,910.01,2,1650.0,1650.0,1.0,1650.0,1650.0
2013-02-18,911.0,6,1800.0,1704.17,2.17,830.77,786.54
2013-02-18,913.0,2,1400.0,1400.0,3.0,466.67,466.67
2013-02-18,914.0,2,1600.0,1600.0,3.0,533.33,533.33
2013-02-18,915.0,8,1875.0,2737.5,1.88,1000.0,1460.0
2013-02-18,916.0,2,2175.0,2175.0,3.0,725.0,725.0
2013-02-18,917.0,1,1550.0,1550.0,4.0,387.5,387.5
2013-02-18,918.0,1,1600.0,1600.0,4.0,400.0,400.0
2013-02-18,920.0,1,1650.0,1650.0,3.0,550.0,550.0
2013-02-18,921.01,6,1650.0,1700.0,3.0,550.0,566.67
2013-02-18,923.0,1,1600.0,1600.0,3.0,533.33,533.33
2013-02-18,924.0,1,2150.0,2150.0,5.0,430.0,430.0
2013-02-18,1002.0,1,1275.0,1275.0,2.0,637.5,637.5
2013-02-18,1003.0,2,1737.5,1737.5,1.5,1158.33,1158.33
2013-02-18,1004.0,1,1575.0,1575.0,3.0,525.0,525.0
2013-02-18,1005.0,6,1575.0,1566.67,2.0,787.5,783.33
2013-02-18,1006.01,1,1500.0,1500.0,3.0,500.0,500.0
2013-02-18,1007.0,5,2000.0,1880.0,2.6,769.23,723.08
2013-02-18,1008.0,4,1650.0,1775.0,2.5,660.0,710.0
2013-02-18,1009.0,4,2125.0,2325.0,2.75,772.73,845.45
2013-02-18,1011.02,1,1400.0,1400.0,3.0,466.67,466.67
2013-02-18,1101.03,3,1900.0,1741.67,2.33,814.29,746.43
2013-02-18,1102.01,1,2300.0,2300.0,3.0,766.67,766.67
2013-02-18,1104.01,4,1350.0,1362.5,1.5,900.0,908.33
2013-02-18,1104.03,2,1600.0,1600.0,2.5,640.0,640.0
2013-02-18,1105.01,3,2050.0,2133.33,2.67,768.75,800.0
2013-02-18,1105.02,7,1700.0,1771.43,2.86,595.0,620.0
2013-02-18,1106.01,1,3650.0,3650.0,2.0,1825.0,1825.0
2013-02-18,1106.07,3,1500.0,1433.33,1.33,1125.0,1075.0
2013-02-18,1201.03,2,4600.0,4600.0,5.0,920.0,920.0
2013-02-18,1201.04,9,2300.0,2861.11,2.67,862.5,1072.92
2013-02-18,1201.05,3,3500.0,3333.33,3.33,1050.0,1000.0
2013-02-18,1202.01,7,1550.0,1789.29,1.86,834.62,963.46
2013-02-18,1203.01,7,2200.0,2589.29,2.14,1026.67,1208.33
2013-02-18,1204.0,8,1825.0,2343.75,2.75,663.64,852.27
2013-02-18,1205.0,4,1975.0,2075.0,1.75,1128.57,1185.71
2013-02-18,1207.0,5,2000.0,1780.0,1.8,1111.11,988.89
2013-02-18,1301.0,7,1925.0,1889.29,1.71,1122.92,1102.08
2013-02-18,1302.0,8,1700.0,1925.0,1.88,906.67,1026.67
2013-02-18,1303.0,3,1600.0,1566.67,2.0,800.0,783.33
2013-02-18,1304.02,6,1575.0,1812.5,1.67,945.0,1087.5
2013-02-18,1304.04,7,1600.0,1742.86,1.57,1018.18,1109.09
2013-02-18,1304.06,1,1725.0,1725.0,2.0,862.5,862.5
2013-02-18,1401.05,1,550.0,550.0,2.0,275.0,275.0
2013-02-18,1401.06,1,2000.0,2000.0,2.0,1000.0,1000.0
2013-02-18,1403.0,1,1250.0,1250.0,1.0,1250.0,1250.0
2013-02-18,1404.0,2,1912.5,1912.5,2.5,765.0,765.0
2013-02-18,9807.0,1,2050.0,2050.0,2.0,1025.0,1025.0
2013-02-18,9810.0,1,2900.0,2900.0,3.0,966.67,966.67
2013-02-18,9812.01,2,2500.0,2500.0,2.5,1000.0,1000.0
2013-02-18,9815.01,3,2525.0,2583.33,1.33,1893.75,1937.5
2013-02-18,9817.0,8,3300.0,3268.75,1.38,2400.0,2377.27
2013-02-18,9818.0,17,1800.0,1939.71,0.94,1912.5,2060.94
2013-03-18,1.0,17,2300.0,2582.35,2.88,797.96,895.92
2013-03-18,2.01,6,2850.0,2737.5,3.5,814.29,782.14
2013-03-18,2.02,6,2600.0,2533.33,3.33,780.0,760.0
2013-03-18,3.01,4,2375.0,2306.25,3.0,791.67,768.75
2013-03-18,3.02,10,2075.0,2140.0,2.8,741.07,764.29
2013-03-18,4.01,11,2550.0,2540.91,3.18,801.43,798.57
2013-03-18,4.02,17,1700.0,1810.29,1.88,903.12,961.72
2013-03-18,5.02,35,1850.0,1970.71,1.71,1079.17,1149.58
2013-03-18,5.03,25,1850.0,2327.0,2.44,758.2,953.69
2013-03-18,5.04,31,1900.0,2112.9,2.39,795.95,885.14
2013-03-18,6.01,8,2275.0,2500.0,2.88,791.3,869.57
2013-03-18,6.02,24,1600.0,1867.71,1.71,936.59,1093.29
2013-03-18,7.01,41,1475.0,1823.78,1.66,889.34,1099.63
2013-03-18,7.03,22,1825.0,1905.68,1.68,1085.14,1133.11
2013-03-18,7.04,26,1512.5,1854.81,1.81,836.7,1026.06
2013-03-18,8.02,55,2050.0,2491.36,2.95,695.99,845.83
2013-03-18,101.03,1,800.0,800.0,1.0,800.0,800.0
2013-03-18,101.04,20,1900.0,2391.25,1.0,1900.0,2391.25
2013-03-18,102.03,32,1900.0,2419.53,1.22,1558.97,1985.26
2013-03-18,102.04,17,2300.0,2341.18,1.41,1629.17,1658.33
2013-03-18,103.0,1,5500.0,5500.0,2.0,2750.0,2750.0
2013-03-18,104.03,19,2200.0,2400.0,1.42,1548.15,1688.89
2013-03-18,104.04,12,1787.5,2179.17,1.0,1787.5,2179.17
2013-03-18,104.05,9,1550.0,1594.44,0.78,1992.86,2050.0
2013-03-18,104.08,13,1750.0,2030.77,0.92,1895.83,2200.0
2013-03-18,105.0,29,2625.0,2826.72,1.59,1654.89,1782.07
2013-03-18,106.0,18,3837.5,3984.72,1.39,2763.0,2869.0
2013-03-18,107.01,29,3000.0,3018.1,1.21,2485.71,2500.71
2013-03-18,107.02,9,2450.0,2722.22,1.33,1837.5,2041.67
2013-03-18,108.01,14,3500.0,3560.71,1.5,2333.33,2373.81
2013-03-18,108.02,17,1650.0,2236.76,1.0,1650.0,2236.76
2013-03-18,201.01,15,2400.0,2606.67,1.07,2250.0,2443.75
2013-03-18,202.0,22,2375.0,2377.27,1.27,1866.07,1867.86
2013-03-18,203.01,5,2675.0,3135.0,1.4,1910.71,2239.29
2013-03-18,203.02,8,2900.0,3321.88,1.5,1933.33,2214.58
2013-03-18,203.03,16,2950.0,3320.31,1.75,1685.71,1897.32
2013-03-18,301.0,6,2750.0,2750.0,1.83,1500.0,1500.0
2013-03-18,302.0,9,2000.0,2338.89,1.67,1200.0,1403.33
2013-03-18,303.0,20,3850.0,3777.5,1.75,2200.0,2158.57
2013-03-18,304.0,10,2225.0,2567.5,1.6,1390.62,1604.69
2013-03-18,305.0,12,3125.0,3418.75,2.25,1388.89,1519.44
2013-03-18,401.0,1,3500.0,3500.0,3.0,1166.67,1166.67
2013-03-18,402.0,2,1150.0,1150.0,0.5,2300.0,2300.0
2013-03-18,403.0,3,1975.0,2175.0,2.0,987.5,1087.5
2013-03-18,404.01,1,2500.0,2500.0,1.0,2500.0,2500.0
2013-03-18,406.0,6,2625.0,2654.17,1.67,1575.0,1592.5
2013-03-18,408.01,9,2825.0,3188.89,1.22,2311.36,2609.09
2013-03-18,501.01,2,1375.0,1375.0,1.5,916.67,916.67
2013-03-18,502.0,5,1550.0,1550.0,2.6,596.15,596.15
2013-03-18,504.0,2,1250.0,1250.0,1.0,1250.0,1250.0
2013-03-18,505.0,2,1650.0,1650.0,3.0,550.0,550.0
2013-03-18,506.0,2,1550.0,1550.0,1.5,1033.33,1033.33
2013-03-18,507.0,5,1600.0,1820.0,2.8,571.43,650.0
2013-03-18,509.01,1,1400.0,1400.0,2.0,700.0,700.0
2013-03-18,510.0,2,1837.5,1837.5,3.0,612.5,612.5
2013-03-18,511.01,3,1400.0,1258.33,3.0,466.67,419.44
2013-03-18,512.0,9,1950.0,2247.22,2.78,702.0,809.0
2013-03-18,601.01,5,1450.0,1780.0,1.4,1035.71,1271.43
2013-03-18,602.0,1,3500.0,3500.0,3.0,1166.67,1166.67
2013-03-18,603.01,1,4300.0,4300.0,4.0,1075.0,1075.0
2013-03-18,604.0,5,1200.0,1495.0,1.0,1200.0,1495.0
2013-03-18,605.01,9,1700.0,2297.22,1.33,1275.0,1722.92
2013-03-18,606.0,11,2400.0,2647.73,1.36,1760.0,1941.67
2013-03-18,608.0,1,2500.0,2500.0,2.0,1250.0,1250.0
2013-03-18,612.0,10,2775.0,2800.0,2.0,1387.5,1400.0
2013-03-18,701.01,25,2900.0,3049.0,1.28,2265.62,2382.03
2013-03-18,702.0,4,1750.0,2312.5,0.25,7000.0,9250.0
2013-03-18,703.0,10,2600.0,2987.5,1.4,1857.14,2133.93
2013-03-18,704.02,2,2400.0,2400.0,1.0,2400.0,2400.0
2013-03-18,705.0,18,2550.0,2772.22,1.33,1912.5,2079.17
2013-03-18,706.0,7,2800.0,2871.43,1.14,2450.0,2512.5
2013-03-18,707.0,15,3000.0,3326.67,1.4,2142.86,2376.19
2013-03-18,708.0,10,2750.0,3315.0,1.8,1527.78,1841.67
2013-03-18,709.0,6,2650.0,3475.0,2.17,1223.08,1603.85
2013-03-18,711.01,12,2425.0,2518.75,1.58,1531.58,1590.79
2013-03-18,712.01,14,2950.0,2925.0,2.07,1424.14,1412.07
2013-03-18,801.0,2,2700.0,2700.0,1.5,1800.0,1800.0
2013-03-18,803.0,2,1475.0,1475.0,2.5,590.0,590.0
2013-03-18,804.01,1,800.0,800.0,1.0,800.0,800.0
2013-03-18,805.0,1,875.0,875.0,1.0,875.0,875.0
2013-03-18,806.01,3,2400.0,2250.0,1.67,1440.0,1350.0
2013-03-18,808.01,4,2900.0,2912.5,2.5,1160.0,1165.0
2013-03-18,809.0,10,2450.0,2415.0,1.6,1531.25,1509.38
2013-03-18,810.01,19,2600.0,2728.95,2.47,1051.06,1103.19
2013-03-18,811.0,10,1675.0,2180.0,2.0,837.5,1090.0
2013-03-18,812.0,1,1800.0,1800.0,2.0,900.0,900.0
2013-03-18,813.0,2,1900.0,1900.0,3.0,633.33,633.33
2013-03-18,814.0,3,1700.0,1650.0,2.0,850.0,825.0
2013-03-18,817.0,3,1700.0,1733.33,1.67,1020.0,1040.0
2013-03-18,818.0,1,1150.0,1150.0,2.0,575.0,575.0
2013-03-18,819.0,2,1325.0,1325.0,2.0,662.5,662.5
2013-03-18,820.0,1,2350.0,2350.0,5.0,470.0,470.0
2013-03-18,901.0,3,1700.0,1783.33,3.33,510.0,535.0
2013-03-18,902.0,2,1425.0,1425.0,3.0,475.0,475.0
2013-03-18,903.0,3,1550.0,1583.33,3.33,465.0,475.0
2013-03-18,906.0,2,1500.0,1500.0,2.0,750.0,750.0
2013-03-18,907.0,4,2125.0,2187.5,2.75,772.73,795.45
2013-03-18,909.01,12,2312.5,2304.17,1.75,1321.43,1316.67
2013-03-18,910.01,1,1800.0,1800.0,2.0,900.0,900.0
2013-03-18,911.0,3,2200.0,2216.67,3.0,733.33,738.89
2013-03-18,912.0,1,1650.0,1650.0,2.0,825.0,825.0
2013-03-18,914.0,2,2100.0,2100.0,1.0,2100.0,2100.0
2013-03-18,915.0,7,1700.0,2003.57,1.86,915.38,1078.85
2013-03-18,917.0,2,1600.0,1600.0,2.0,800.0,800.0
2013-03-18,918.0,1,1850.0,1850.0,4.0,462.5,462.5
2013-03-18,919.0,2,1425.0,1425.0,2.5,570.0,570.0
2013-03-18,921.01,4,1675.0,1656.25,2.25,744.44,736.11
2013-03-18,923.0,2,1012.5,1012.5,3.5,289.29,289.29
2013-03-18,1002.0,1,1325.0,1325.0,2.0,662.5,662.5
2013-03-18,1003.0,1,1300.0,1300.0,2.0,650.0,650.0
2013-03-18,1004.0,1,1600.0,1600.0,3.0,533.33,533.33
2013-03-18,1005.0,4,1550.0,1612.5,2.5,620.0,645.0
2013-03-18,1006.01,1,2500.0,2500.0,5.0,500.0,500.0
2013-03-18,1006.03,1,2000.0,2000.0,3.0,666.67,666.67
2013-03-18,1008.0,2,1825.0,1825.0,2.0,912.5,912.5
2013-03-18,1010.01,1,1350.0,1350.0,2.0,675.0,675.0
2013-03-18,1011.01,1,1700.0,1700.0,4.0,425.0,425.0
2013-03-18,1101.03,6,2000.0,1941.67,2.83,705.88,685.29
2013-03-18,1103.01,1,900.0,900.0,3.0,300.0,300.0
2013-03-18,1104.03,1,1350.0,1350.0,1.0,1350.0,1350.0
2013-03-18,1105.01,4,2200.0,2150.0,2.75,800.0,781.82
2013-03-18,1105.02,4,2325.0,2100.0,2.5,930.0,840.0
2013-03-18,1106.07,3,1800.0,1866.67,3.0,600.0,622.22
2013-03-18,1201.03,2,3900.0,3900.0,3.5,1114.29,1114.29
2013-03-18,1201.04,2,2300.0,2300.0,3.0,766.67,766.67
2013-03-18,1201.05,1,3500.0,3500.0,4.0,875.0,875.0
2013-03-18,1202.01,7,1800.0,1903.57,2.0,900.0,951.79
2013-03-18,1203.01,4,2100.0,2037.5,2.25,933.33,905.56
2013-03-18,1204.0,8,2325.0,2300.0,2.62,885.71,876.19
2013-03-18,1205.0,6,2350.0,2433.33,2.67,881.25,912.5
2013-03-18,1206.0,5,2100.0,2310.0,2.0,1050.0,1155.0
2013-03-18,1207.0,3,1800.0,1833.33,2.0,900.0,916.67
2013-03-18,1301.0,3,1625.0,1941.67,2.67,609.38,728.13
2013-03-18,1302.0,2,1250.0,1250.0,2.5,500.0,500.0
2013-03-18,1304.02,2,1212.5,1212.5,1.5,808.33,808.33
2013-03-18,1304.04,5,1500.0,1330.0,1.2,1250.0,1108.33
2013-03-18,1401.05,1,1550.0,1550.0,3.0,516.67,516.67
2013-03-18,1401.06,1,2000.0,2000.0,2.0,1000.0,1000.0
2013-03-18,1401.07,1,1500.0,1500.0,2.0,750.0,750.0
2013-03-18,1403.0,1,1400.0,1400.0,2.0,700.0,700.0
2013-03-18,9807.0,1,1800.0,1800.0,2.0,900.0,900.0
2013-03-18,9812.01,1,1900.0,1900.0,2.0,950.0,950.0
2013-03-18,9817.0,10,2475.0,2532.5,1.2,2062.5,2110.42
2013-03-18,9818.0,14,1850.0,2167.86,1.07,1726.67,2023.33
2013-04-18,1.0,23,2000.0,2204.35,2.35,851.85,938.89
2013-04-18,2.01,17,2400.0,2529.41,2.88,832.65,877.55
2013-04-18,2.02,10,2175.0,2167.5,2.7,805.56,802.78
2013-04-18,3.01,14,2125.0,2212.5,2.36,901.52,938.64
2013-04-18,3.02,15,2300.0,2461.67,3.2,718.75,769.27
2013-04-18,4.01,21,2450.0,2426.19,2.57,952.78,943.52
2013-04-18,4.02,19,1900.0,2198.68,2.16,880.49,1018.9
2013-04-18,5.02,38,1850.0,2125.66,1.89,976.39,1121.88
2013-04-18,5.03,30,1900.0,2360.0,2.3,826.09,1026.09
2013-04-18,5.04,46,1850.0,2220.11,2.26,818.27,981.97
2013-04-18,6.01,16,2225.0,2350.0,2.75,809.09,854.55
2013-04-18,6.02,27,1800.0,2077.78,1.89,952.94,1100.0
2013-04-18,7.01,54,1600.0,1953.7,1.78,900.0,1098.96
2013-04-18,7.03,24,1800.0,2101.04,1.83,981.82,1146.02
2013-04-18,7.04,32,1750.0,2069.53,2.0,875.0,1034.77
2013-04-18,8.02,48,2450.0,2864.06,3.27,749.04,875.64
2013-04-18,8.03,1,3000.0,3000.0,3.0,1000.0,1000.0
2013-04-18,101.03,2,1125.0,1125.0,0.5,2250.0,2250.0
2013-04-18,101.04,20,2050.0,2447.5,1.35,1518.52,1812.96
2013-04-18,102.03,32,1812.5,2200.0,1.16,1567.57,1902.7
2013-04-18,102.04,31,2350.0,2550.0,2.0,1175.0,1275.0
2013-04-18,103.0,5,1900.0,2195.0,2.0,950.0,1097.5
2013-04-18,104.03,21,2200.0,2547.62,1.38,1593.1,1844.83
2013-04-18,104.04,15,2300.0,2511.67,1.53,1500.0,1638.04
2013-04-18,104.05,14,2000.0,2026.79,1.21,1647.06,1669.12
2013-04-18,104.08,14,2075.0,2269.64,1.5,1383.33,1513.1
2013-04-18,105.0,21,2900.0,3004.76,1.43,2030.0,2103.33
2013-04-18,106.0,24,3437.5,3634.38,1.38,2500.0,2643.18
2013-04-18,107.01,34,2450.0,2630.15,1.24,1983.33,2129.17
2013-04-18,107.02,21,2450.0,2730.95,0.9,2707.89,3018.42
2013-04-18,108.01,15,2100.0,2696.67,1.0,2100.0,2696.67
2013-04-18,108.02,26,2100.0,2470.19,1.0,2100.0,2470.19
2013-04-18,201.01,11,2500.0,2909.09,1.55,1617.65,1882.35
2013-04-18,202.0,24,2600.0,2743.75,1.46,1782.86,1881.43
2013-04-18,203.01,1,3275.0,3275.0,1.0,3275.0,3275.0
2013-04-18,203.02,15,2450.0,3016.67,1.33,1837.5,2262.5
2013-04-18,203.03,15,2625.0,3060.0,1.33,1968.75,2295.0
2013-04-18,301.0,6,3150.0,3233.33,2.33,1350.0,1385.71
2013-04-18,302.0,5,2400.0,2480.0,2.0,1200.0,1240.0
2013-04-18,303.0,19,2825.0,2967.11,1.74,1626.52,1708.33
2013-04-18,304.0,16,2600.0,2882.81,1.75,1485.71,1647.32
2013-04-18,305.0,4,2350.0,2575.0,1.75,1342.86,1471.43
2013-04-18,401.0,1,3400.0,3400.0,3.0,1133.33,1133.33
2013-04-18,403.0,6,2075.0,2100.0,1.5,1383.33,1400.0
2013-04-18,404.01,3,1750.0,1966.67,1.0,1750.0,1966.67
2013-04-18,406.0,6,2725.0,2750.0,2.0,1362.5,1375.0
2013-04-18,408.01,8,3337.5,3706.25,1.75,1907.14,2117.86
2013-04-18,501.01,1,1500.0,1500.0,2.0,750.0,750.0
2013-04-18,502.0,2,1750.0,1750.0,1.0,1750.0,1750.0
2013-04-18,504.0,4,1475.0,1562.5,2.0,737.5,781.25
2013-04-18,505.0,1,1600.0,1600.0,2.0,800.0,800.0
2013-04-18,506.0,1,2400.0,2400.0,2.0,1200.0,1200.0
2013-04-18,507.0,2,1875.0,1875.0,2.0,937.5,937.5
2013-04-18,510.0,3,2400.0,2183.33,3.0,800.0,727.78
2013-04-18,511.01,3,2200.0,2133.33,3.33,660.0,640.0
2013-04-18,512.0,5,1400.0,2370.0,3.0,466.67,790.0
2013-04-18,601.01,1,1250.0,1250.0,1.0,1250.0,1250.0
2013-04-18,602.0,2,2300.0,2300.0,2.0,1150.0,1150.0
2013-04-18,603.01,6,3050.0,2800.0,2.0,1525.0,1400.0
2013-04-18,604.0,10,2362.5,2267.5,2.3,1027.17,985.87
2013-04-18,605.01,9,2300.0,2350.0,1.67,1380.0,1410.0
2013-04-18,606.0,9,3125.0,3252.78,1.67,1875.0,1951.67
2013-04-18,608.0,7,2200.0,2414.29,2.14,1026.67,1126.67
2013-04-18,610.0,1,1800.0,1800.0,1.0,1800.0,1800.0
2013-04-18,612.0,10,3125.0,3155.0,1.8,1736.11,1752.78
2013-04-18,701.01,21,2900.0,3178.57,1.43,2030.0,2225.0
2013-04-18,702.0,4,2650.0,2500.0,2.0,1325.0,1250.0
2013-04-18,703.0,10,1612.5,2092.5,0.5,3225.0,4185.0
2013-04-18,704.02,2,2375.0,2375.0,1.5,1583.33,1583.33
2013-04-18,705.0,12,2825.0,3068.75,1.33,2118.75,2301.56
2013-04-18,706.0,9,2950.0,3144.44,1.33,2212.5,2358.33
2013-04-18,707.0,6,3650.0,3541.67,1.83,1990.91,1931.82
2013-04-18,708.0,17,2500.0,2688.24,1.35,1847.83,1986.96
2013-04-18,709.0,13,2800.0,3257.69,1.77,1582.61,1841.3
2013-04-18,711.01,22,2600.0,2612.5,1.64,1588.89,1596.53
2013-04-18,712.01,11,2950.0,3002.27,1.64,1802.78,1834.72
2013-04-18,801.0,1,1500.0,1500.0,3.0,500.0,500.0
2013-04-18,803.0,2,1700.0,1700.0,3.0,566.67,566.67
2013-04-18,804.01,3,2600.0,2683.33,1.67,1560.0,1610.0
2013-04-18,806.01,2,3375.0,3375.0,3.0,1125.0,1125.0
2013-04-18,808.01,2,3000.0,3000.0,2.5,1200.0,1200.0
2013-04-18,809.0,15,3100.0,2968.33,2.6,1192.31,1141.67
2013-04-18,810.01,17,3300.0,3251.47,2.82,1168.75,1151.56
2013-04-18,811.0,19,1900.0,2313.16,2.32,820.45,998.86
2013-04-18,812.0,1,1700.0,1700.0,2.0,850.0,850.0
2013-04-18,814.0,3,1700.0,2433.33,2.67,637.5,912.5
2013-04-18,817.0,4,1600.0,1731.25,1.5,1066.67,1154.17
