pro_Census Tract (2010),pro_Count Parcels,pro_Count Units,pro_Avg Living Area / Unit,pro_Avg Building Age,pro_Perc. units owner-occupied ,pro_LandUsePerc. Agri./Comm./Indust.,pro_LandUsePerc. Condo/Res./C.R.Mix,pro_LandUsePerc. Tax Exempt/TE-BPDA
1.0,1092,3358,2072.0,47.053590568060024,31.96,15.38,81.68,2.93
2.01,925,1794,1199.0,56.8675799086758,39.24,2.7,95.68,1.62
2.02,787,1551,1289.0,56.76943699731903,48.79,3.3,95.17,1.52
3.01,831,1455,1298.0,50.72727272727273,47.29,2.05,96.87,1.08
3.02,1077,1582,1127.0,51.938044530493706,47.26,0.93,98.05,1.02
4.01,1306,9177,290.0,58.50396825396825,26.88,0.46,97.93,1.61
4.02,1005,2074,1216.0,45.53838065194532,37.21,2.69,94.33,2.99
5.02,1102,2531,976.0,37.79925303454715,21.42,2.09,96.28,1.63
5.03,889,1538,719.0,41.35115431348724,24.18,0.11,99.78,0.11
5.04,1339,3037,826.0,37.229719484457924,28.08,2.46,96.94,0.6
6.01,912,2352,931.0,51.562350119904075,36.95,5.37,91.56,3.07
6.02,621,2698,1189.0,47.44216417910448,24.8,3.06,91.47,5.48
7.01,1043,2612,837.0,43.073170731707314,21.86,1.15,98.18,0.67
7.03,262,1809,879.0,39.54474708171206,9.92,13.74,84.73,1.53
7.04,1136,3397,743.0,43.89099099099099,17.34,2.82,96.92,0.26
8.02,1422,5369,1128.0,46.096385542168676,23.98,13.15,83.83,3.02
8.03,76,939,2207.0,35.138888888888886,10.53,46.05,14.47,39.47
101.03,188,2637,1464.0,27.83050847457627,0.0,12.23,10.11,77.66
101.04,1776,27576,103.0,30.387126019945605,17.0,11.32,84.23,4.45
102.03,884,6231,726.0,37.140073081607795,15.5,7.92,89.03,3.05
102.04,661,2631,1336.0,30.139767054908486,18.31,3.48,83.51,13.01
103.0,247,1536,3895.0,28.385026737967916,12.15,8.5,59.11,32.39
104.03,506,2588,730.0,20.436194895591647,18.38,3.56,93.87,2.57
104.04,769,2934,795.0,28.685126582278482,12.74,1.17,93.63,5.2
104.05,420,2063,1116.0,30.63817663817664,9.05,5.48,79.05,15.48
104.08,291,1089,600.0,26.17753623188406,22.68,0.34,98.28,1.37
105.0,511,3488,1090.0,28.007317073170732,29.55,4.31,91.59,4.11
106.0,790,4660,3522.0,19.241610738255034,31.9,5.57,93.42,1.01
107.01,1131,2770,1085.0,27.282608695652176,29.09,8.31,89.83,1.86
107.02,1592,2965,2111.0,25.753188297074267,29.84,11.12,86.93,1.95
108.01,1694,2314,1007.0,28.221784776902886,35.83,0.35,98.47,1.18
108.02,1855,2511,963.0,30.355542095699576,31.0,0.38,99.03,0.59
201.01,2194,3841,1030.0,30.73058884835852,38.56,1.87,96.17,1.96
202.0,1251,3463,575.0,33.61298701298701,29.58,2.4,96.24,1.36
203.01,924,17804,171.0,30.43486973947896,19.05,4.55,87.01,8.44
203.02,607,1246,1027.0,29.642718446601943,32.78,1.98,96.38,1.65
203.03,1430,23490,353.0,22.617151607963248,22.94,7.97,85.73,6.29
301.0,637,1932,642.0,32.472361809045225,30.93,2.2,97.02,0.78
302.0,551,2084,560.0,22.769072164948454,21.6,5.44,93.28,1.27
303.0,2219,8304,2784.0,30.957351290684624,33.3,14.06,77.87,8.07
304.0,983,3556,530.0,24.389369592089,24.72,4.78,89.42,5.8
305.0,1249,2690,658.0,32.41251133272892,41.63,2.96,95.2,1.84
401.0,1252,2218,976.0,31.208695652173912,50.8,1.6,95.93,2.48
402.0,359,1252,547.0,33.6797385620915,55.71,1.11,91.92,6.96
403.0,1826,2641,980.0,37.176187612748045,56.46,0.82,98.08,1.1
404.01,876,2761,483.0,33.106770833333336,50.68,3.77,90.53,5.71
406.0,1623,4493,1164.0,32.38423236514523,44.24,9.3,84.29,6.41
408.01,1073,3405,1322.0,19.501694915254237,50.23,4.29,90.87,4.85
501.01,785,1915,1018.0,68.16428571428571,45.22,1.78,96.43,1.78
502.0,931,2469,901.0,56.676829268292686,39.85,4.19,94.31,1.5
503.0,224,2290,853.0,45.63953488372093,24.55,16.07,67.86,16.07
504.0,589,1593,748.0,46.42448979591837,34.13,5.94,92.02,2.04
505.0,364,1049,1185.0,40.91975308641975,29.67,5.22,93.41,1.37
506.0,437,1727,627.0,46.82051282051282,28.15,12.13,81.46,6.41
507.0,838,2252,769.0,58.79745042492918,36.04,5.13,92.0,2.86
509.01,832,3203,660.0,64.70731707317073,39.06,9.38,84.25,6.37
510.0,890,2456,1211.0,64.90775401069519,52.13,6.52,89.21,4.27
511.01,1342,3271,941.0,58.4776247848537,52.91,3.73,92.62,3.65
512.0,847,2711,647.0,44.408071748878925,39.91,2.36,91.5,6.14
601.01,1486,1973,1131.0,34.00473933649289,46.77,0.61,99.19,0.2
602.0,818,1176,1066.0,39.64520367936925,48.66,0.12,99.51,0.37
603.01,1428,2165,1072.0,38.329268292682926,47.13,1.89,97.2,0.91
604.0,1984,3227,979.0,39.824444444444445,46.37,0.76,98.69,0.55
605.01,2258,3132,1007.0,27.471719457013574,39.81,4.83,94.55,0.62
606.0,1682,10324,1676.0,16.84341342170671,31.09,9.81,83.35,6.84
607.0,6,394,447.0,43.5,0.0,0.0,0.0,100.0
608.0,2276,3399,904.0,33.067047817047815,39.28,4.75,94.02,1.23
610.0,538,1516,599.0,33.53971486761711,47.4,0.37,96.65,2.97
611.01,32,1112,141.0,51.08695652173913,12.5,3.12,53.12,43.75
612.0,2553,6417,1569.0,23.79123173277662,38.9,12.26,82.73,5.01
701.01,4160,18861,2153.0,14.08713692946058,23.94,20.7,76.01,3.29
702.0,607,8546,808.0,20.838852097130243,23.39,15.82,65.73,18.45
703.0,2203,4516,1452.0,22.528254288597378,43.35,3.68,94.51,1.82
704.02,304,2237,1255.0,5.8431372549019605,23.68,7.24,84.21,8.55
705.0,2444,4297,746.0,22.8055704338511,44.52,2.29,95.5,2.21
706.0,1179,1783,989.0,23.729756097560976,49.45,2.37,96.69,0.93
707.0,992,2749,1180.0,21.752727272727274,44.76,2.62,95.87,1.51
708.0,1397,3363,628.0,24.345019920318727,39.44,2.0,96.13,1.86
709.0,998,2798,610.0,24.73561946902655,42.38,2.51,94.09,3.41
711.01,1306,6000,697.0,22.573002754820937,40.35,2.6,93.64,3.75
712.01,1240,12437,289.0,16.8951367781155,34.92,5.48,90.4,4.11
