pro_Census Tract (2010),pro_Count Parcels,pro_Count Units,pro_Avg Living Area / Unit,pro_Avg Building Age,pro_Perc. units owner-occupied ,pro_LandUsePerc. Agri./Comm./Indust.,pro_LandUsePerc. Condo/Res./C.R.Mix,pro_LandUsePerc. Tax Exempt/TE-BPDA
801.0,755,3515,1308.0,56.02625298329355,17.75,41.99,44.24,13.77
803.0,406,2119,691.0,46.56333333333333,30.79,5.91,77.34,16.75
804.01,366,3745,523.0,23.96069868995633,21.86,18.58,52.19,29.23
805.0,193,1873,332.0,50.61971830985915,24.35,2.07,75.13,22.8
806.01,386,3768,1176.0,28.337448559670783,21.5,10.1,69.43,20.47
808.01,121,2123,908.0,36.833333333333336,0.0,19.83,17.36,62.81
809.0,470,2010,1220.0,49.60344827586207,19.15,3.62,91.28,5.11
810.01,769,6506,1105.0,36.395161290322584,21.59,4.03,77.11,18.86
811.0,924,3316,778.0,39.776620370370374,42.1,2.16,92.97,4.87
812.0,377,1951,496.0,47.85947712418301,43.77,7.16,85.41,7.43
813.0,604,3976,647.0,39.821576763485474,28.15,9.11,74.83,16.06
814.0,1131,5575,410.0,36.63325183374083,31.83,2.48,82.58,14.94
815.0,592,2664,497.0,42.6183908045977,42.4,1.18,88.51,10.3
817.0,638,2864,726.0,50.27592954990215,39.18,0.63,89.34,10.03
818.0,732,2875,731.0,53.60670194003527,40.44,4.23,86.75,9.02
819.0,546,2312,754.0,56.14945054945055,36.08,0.92,89.93,9.16
820.0,596,2762,854.0,64.7784679089027,43.62,2.85,85.57,11.58
821.0,401,2584,848.0,50.13677811550152,37.41,2.99,91.52,5.49
901.0,736,3188,777.0,65.04674457429049,41.03,2.04,91.3,6.66
902.0,325,1706,861.0,44.0375,33.85,7.69,83.08,9.23
903.0,588,3298,631.0,52.35407725321888,34.52,3.91,84.01,12.07
904.0,868,4625,394.0,47.698175787728026,35.48,1.5,83.87,14.63
906.0,654,3481,401.0,53.55045871559633,31.5,11.16,68.96,19.88
907.0,1358,3730,1119.0,44.00174825174825,39.91,7.73,87.56,4.71
909.01,30,574,3899.0,34.8,0.0,36.67,10.0,53.33
910.01,1017,3128,1136.0,46.12232779097387,45.13,10.52,84.27,5.21
911.0,1281,2492,1092.0,52.332206255283175,52.77,2.26,96.25,1.48
912.0,728,1665,1173.0,58.66352201257862,52.88,3.43,92.72,3.85
913.0,494,2485,622.0,53.96765498652291,39.07,9.11,80.97,9.92
914.0,552,2359,624.0,60.70192307692308,45.65,2.54,88.41,9.06
915.0,906,2181,998.0,47.153266331658294,50.66,2.54,94.92,2.54
916.0,670,1615,1093.0,53.99293286219081,38.96,10.3,86.87,2.84
917.0,523,1382,1028.0,65.72270742358079,49.14,3.25,94.46,2.29
918.0,697,2226,867.0,61.80410447761194,45.62,6.17,87.52,6.31
919.0,758,3265,609.0,62.19900497512438,43.14,3.69,86.41,9.89
920.0,864,2985,963.0,69.58167330677291,51.5,2.66,90.51,6.83
921.01,1700,4250,997.0,47.64257294429708,46.82,8.24,87.88,3.88
922.0,795,2027,1162.0,66.85892116182572,60.75,3.02,91.82,5.16
923.0,610,2059,791.0,59.69019607843137,49.02,5.08,89.18,5.74
924.0,801,3964,701.0,59.50903614457831,39.2,4.37,87.77,7.87
1001.0,850,3893,659.0,51.8063492063492,41.41,4.94,82.71,12.35
1002.0,621,2225,646.0,55.52479338842975,44.77,2.25,88.08,9.66
1003.0,810,2508,772.0,58.4919941775837,52.72,2.35,91.36,6.3
1004.0,990,2174,1241.0,63.849036402569595,63.64,1.52,96.67,1.82
1005.0,1350,4204,838.0,58.49868073878628,45.48,3.78,90.52,5.7
1006.01,1446,2550,1103.0,52.95441176470588,58.37,1.59,97.58,0.83
1006.03,871,2604,799.0,42.47949080622348,47.99,9.76,82.78,7.46
1007.0,1499,3454,916.0,54.79144385026738,62.04,5.14,91.39,3.47
1008.0,1658,4004,895.0,52.8167115902965,64.23,2.17,94.93,2.9
1009.0,1273,2458,1026.0,51.66950596252129,65.04,2.91,94.42,2.67
1010.01,1591,7813,379.0,60.322418136020154,52.86,3.27,84.73,12.01
1010.02,918,2806,866.0,56.632029339853304,62.42,3.49,92.05,4.47
1011.01,605,1466,1250.0,67.10131332082551,55.04,1.65,96.03,2.31
1011.02,761,2576,1016.0,62.26840490797546,43.63,4.47,90.41,5.12
1101.03,1549,3764,790.0,47.649379108838566,49.32,5.55,90.77,3.68
1102.01,461,1212,762.0,53.59478672985782,55.75,4.12,92.41,3.47
1103.01,916,1676,950.0,47.92439024390244,63.54,3.71,93.23,3.06
1104.01,997,2101,864.0,52.606502242152466,61.48,2.01,94.88,3.11
1104.03,1418,2564,963.0,56.60678488820355,72.28,0.21,97.46,2.33
1105.01,1103,1535,1281.0,54.740704500978474,71.44,0.82,98.82,0.36
1105.02,1301,2334,1090.0,53.03338898163606,58.57,6.15,92.54,1.31
1106.01,1061,1835,1128.0,47.60537190082645,80.58,0.47,97.64,1.89
1106.07,1899,3658,966.0,51.063792085056114,62.51,2.69,94.79,2.53
1201.03,681,974,1496.0,37.00165562913907,64.9,3.67,95.3,1.03
1201.04,850,1345,840.0,35.96958174904943,51.65,0.35,98.0,1.65
1201.05,1017,1466,1820.0,40.30444444444444,75.42,0.69,96.07,3.24
1202.01,1164,3057,938.0,39.68661257606491,48.54,6.1,90.29,3.61
1203.01,1503,5771,542.0,42.19906323185012,49.7,3.26,91.75,4.99
1204.0,2303,5430,821.0,35.28995215311005,55.84,2.26,93.88,3.86
1205.0,631,1452,821.0,37.06915887850467,43.9,2.54,94.29,3.17
1206.0,828,1778,838.0,41.24835742444152,53.5,1.93,96.01,2.05
1207.0,537,1802,901.0,38.081135902636916,46.93,1.3,93.67,5.03
1301.0,2747,5269,782.0,48.79268782643632,67.31,0.73,96.03,3.24
1302.0,1741,2584,1444.0,56.55709779179811,71.86,3.62,95.0,1.38
1303.0,1731,2464,1400.0,53.32420382165605,73.95,1.96,95.96,2.08
1304.02,1985,3095,1270.0,48.74819277108434,63.02,5.84,92.34,1.81
1304.04,1634,9790,181.0,44.91612903225806,41.92,1.65,81.21,17.14
1304.06,832,3285,520.0,44.14020028612303,61.06,1.8,92.07,6.13
1401.02,1720,4053,838.0,46.87806637806638,59.83,4.59,90.99,4.42
1401.05,1173,2925,610.0,57.4277566539924,71.44,3.67,91.9,4.43
1401.06,107,748,1207.0,55.536842105263155,56.07,5.61,85.98,8.41
1401.07,792,2143,650.0,61.63965267727931,66.16,0.88,93.43,5.68
1402.01,580,1931,968.0,58.9978813559322,55.34,11.72,82.07,6.21
1402.02,1510,2689,1065.0,59.642805495300074,74.7,0.4,97.48,2.12
1403.0,1588,4722,968.0,57.823903818953326,57.3,8.38,85.89,5.73
1404.0,2402,4676,808.0,57.71280113367973,64.32,2.25,95.46,2.29
9801.01,27,777,51.0,86.5,0.0,0.0,3.7,96.3
9803.0,6,46,2374.0,118.0,0.0,16.67,0.0,83.33
9807.0,28,706,53.0,109.0,0.0,0.0,3.57,96.43
9810.0,13,278,96.0,93.0,0.0,0.0,7.69,92.31
9811.0,71,979,379.0,31.61111111111111,23.94,0.0,35.21,64.79
9812.01,19,209,397.0,92.85714285714286,0.0,26.32,0.0,73.68
9812.02,102,1575,3396.0,37.625,0.0,43.14,0.98,55.88
9813.0,332,2332,115.0,15.777777777777779,46.08,0.0,76.81,23.19
9815.01,12,130,545.0,37.8,0.0,0.0,0.0,100.0
9815.02,3,13,30174.0,23.5,0.0,100.0,0.0,0.0
9816.0,9,102,458.0,13.25,0.0,55.56,0.0,44.44
9817.0,7,7,50000.0,67.0,0.0,42.86,0.0,57.14
9818.0,11,126,126.0,53.5,0.0,0.0,0.0,100.0
9901.01,2,30,0.0,,0.0,0.0,0.0,100.0
